.word 0,Offset
BrokenWeaponSword,aBrokenWeaponData.SwordBrokenWeaponDataEntry - aBrokenWeaponOffsets
BrokenWeaponLance,aBrokenWeaponData.LanceBrokenWeaponDataEntry - aBrokenWeaponOffsets
BrokenWeaponAxe,aBrokenWeaponData.AxeBrokenWeaponDataEntry - aBrokenWeaponOffsets
BrokenWeaponBow,aBrokenWeaponData.BowBrokenWeaponDataEntry - aBrokenWeaponOffsets
BrokenWeaponStaff,aBrokenWeaponData.StaffBrokenWeaponDataEntry - aBrokenWeaponOffsets
BrokenWeaponFire,aBrokenWeaponData.FireBrokenWeaponDataEntry - aBrokenWeaponOffsets
BrokenWeaponThunder,aBrokenWeaponData.ThunderBrokenWeaponDataEntry - aBrokenWeaponOffsets
BrokenWeaponWind,aBrokenWeaponData.WindBrokenWeaponDataEntry - aBrokenWeaponOffsets
BrokenWeaponLight,aBrokenWeaponData.LightBrokenWeaponDataEntry - aBrokenWeaponOffsets
BrokenWeaponDark,aBrokenWeaponData.LightBrokenWeaponDataEntry - aBrokenWeaponOffsets
