.word 0,Pointer
Ch02_Evans,<>aChapter02EvansCastle
Ch02_Nordion,<>aChapter02NordionCastle
Ch02_Heirhein,<>aChapter02HeirheinCastle
Ch02_Infini,<>aChapter02InfiniCastle
Ch02_Mackily,<>aChapter02MackilyCastle
Ch02_Agusti,<>aChapter02AgustiCastle
Ch02_VillageBargainBand,<>aChapter02VillageBargainBand
Ch02_Village1,<>aChapter02Village1
Ch02_Village2,<>aChapter02Village2
Ch02_Village3,<>aChapter02Village3
Ch02_Village4,<>aChapter02Village4
Ch02_Village5,<>aChapter02Village5
Ch02_Village6,<>aChapter02Village6
Ch02_Village7,<>aChapter02Village7
Ch02_Village8,<>aChapter02Village8
Ch02_VillageArmorslayer,<>aChapter02VillageArmorslayer
