.long 0,Pointer
Event000,$8FEF55
EventPrologueOpening,aEventPrologueOpening
EventPrologueEdainAbduction,aEventPrologueEdainAbduction
EventPrologueQuanGroupSpawn,aEventPrologueQuanGroupSpawn
EventPrologueLexAzelleSpawn,aEventPrologueLexAzelleSpawn
EventPrologueYngviSeized,aEventPrologueYngviSeized
EventPrologueEvansSpawn,aEventPrologueEvansSpawn
EventPrologueArvisSpawn,aEventPrologueArvisSpawn
EventPrologueEnding,aEventPrologueEnding
EventPrologueSigurdHomeCastle,aEventPrologueSigurdHomeCastle
Event00A,aEventPrologue00A
Event00B,aEventPrologue00B
Event00C,aEventPrologue00C
Event00D,aEventPrologue00D
Event00E,aEventPrologue00E
Event00F,aEventPrologue00F
Event010,aEventPrologue010
Event011,aEventPrologue011
Event012,aEventPrologue012
EventPrologueSigurdArvisTalk,aEventPrologueSigurdArvisTalk
EventPrologueVillage1,aEventPrologueVillage1
EventPrologueVillage2,aEventPrologueVillage2
EventPrologueVillage4,aEventPrologueVillage4
EventPrologueVillage3,aEventPrologueVillage3
EventPrologueVillageSpeedRing,aEventPrologueVillageSpeedRing
EventPrologueQuanDied,aEventPrologueQuanDied
EventPrologueEthlynDied,aEventPrologueEthlynDied
EventPrologueFinnDied,aEventPrologueFinnDied
Event01C,aEventPrologue01C
Event01D,aEventPrologue01D
Event01E,aEventPrologue01E
Event01F,aEventPrologue01F
EventChapter01Opening,aEventChapter01Opening
Event021,aEventChapter01_021
EventChapter01EdainGroupSpawn,aEventChapter01EdainGroupSpawn
EventChapter01GenoaSeized,aEventChapter01GenoaSeized
EventChapter01SigurdAyraTalk,aEventChapter01SigurdAyraTalk
EventChapter01EdainJamkeTalk,aEventChapter01EdainJamkeTalk
EventChapter01HeirheinSpawn,aEventChapter01HeirheinSpawn
EventChapter01NordionSpawn,aEventChapter01NordionSpawn
EventChapter01MarphaSeized,aEventChapter01MarphaSeized
EventChapter01VerdaneSpawn,aEventChapter01VerdaneSpawn
EventChapter01DeirdreSpawn,aEventChapter01DeirdreSpawn
EventChapter01Ending,aEventChapter01Ending
Event02C,aEventChapter01_02C
Event02D,aEventChapter01_02D
Event02E,aEventChapter01_02E
Event02F,aEventChapter01_02F
Event030,aEventChapter01_030
Event031,aEventChapter01_031
Event032,aEventChapter01_032
Event033,aEventChapter01_033
EventChapter01Village1,aEventChapter01Village1
EventChapter01Village2,aEventChapter01Village2
EventChapter01Village3,aEventChapter01Village3
EventChapter01EldiganRetreat,aEventChapter01EldiganRetreat
EventChapter01MunnirRallyVanguard,aEventChapter01MunnirRallyVanguard
EventChapter01AyraDestroysGenoa,aEventChapter01AyraDestroysGenoa
