.long 0,Pointer
FG_PrologueSigurd,aFactionGroupData00
FG_PrologueYngvi,aFactionGroupData01
FG_PrologueEvans,aFactionGroupData02
FG_PrologueArvis,aFactionGroupData03
FG_Ch01Sigurd,aFactionGroupData04
FG_Ch01Genoa,aFactionGroupData05
FG_Ch01Marpha,aFactionGroupData06
FG_Ch01Verdane,aFactionGroupData07
FG_Ch01Nordion,aFactionGroupData08
FG_Ch01Heirhein,aFactionGroupData09
FG_Ch02Sigurd,aFactionGroupData0A
FG_Ch02Nordion,aFactionGroupData0B
FG_Ch02Heirhein,aFactionGroupData0C
FG_Ch02Infini,aFactionGroupData0D
FG_Ch02Mackily,aFactionGroupData0E
FG_Ch02Agusti,aFactionGroupData0F
FG_Ch03Sigurd,aFactionGroupData10
FG_Ch03Sylvale,aFactionGroupData11
FG_Ch03Madino,aFactionGroupData12
FG_Ch03Orgahil,aFactionGroupData13
FG_Ch03DozelFriege,aFactionGroupData14
FG_Ch04Sigurd,aFactionGroupData15
FG_Ch04Tofa,aFactionGroupData16
FG_Ch04Zaxon,aFactionGroupData17
FG_Ch04Silesse,aFactionGroupData18
FG_Ch04Civilians,aFactionGroupData19
FG_Ch05Sigurd,aFactionGroupData1A
FG_Ch05Lubeck,aFactionGroupData1B
FG_Ch05Phinora,aFactionGroupData1C
FG_Ch05Velthomer,aFactionGroupData1D
FG_Ch05Belhalla,aFactionGroupData1E
FG_Ch05Byron,aFactionGroupData1F
FG_Ch05Friege,aFactionGroupData20
FG_Ch05Leonster,aFactionGroupData21
FG_Ch05Thracia,aFactionGroupData22
FG_Ch06Seliph,aFactionGroupData23
FG_Ch06Ganeshire,aFactionGroupData24
FG_Ch06Sofala1,aFactionGroupData25
FG_Ch06Isaach1,aFactionGroupData26
FG_Ch06Ribaut,aFactionGroupData27
FG_Ch07Seliph,aFactionGroupData28
FG_Ch07Aed,aFactionGroupData29
FG_Ch07Dahna,aFactionGroupData2A
FG_Ch07Melgen,aFactionGroupData2B
FG_Ch07Ulster,aFactionGroupData2C
FG_Ch08Seliph,aFactionGroupData2D
FG_Ch08Connacht,aFactionGroupData2E
FG_Ch08Munster1,aFactionGroupData2F
FG_Ch08Meath,aFactionGroupData30
FG_Ch09Seliph,aFactionGroupData31
FG_Ch09Kapathogia,aFactionGroupData32
FG_Ch09Luthecia,aFactionGroupData33
FG_Ch09Grutia,aFactionGroupData34
FG_Ch09Thracia,aFactionGroupData35
FG_Ch10Seliph,aFactionGroupData36
FG_Ch10Civilians,aFactionGroupData37
FG_Ch10Chronos,aFactionGroupData38
FG_Ch10Rados,aFactionGroupData39
FG_Ch10Miletos,aFactionGroupData3A
FG_Ch10Chalphy,aFactionGroupData3B
FG_FinalSeliph,aFactionGroupData3C
FG_FinalEdda,aFactionGroupData3D
FG_FinalFriege,aFactionGroupData3E
FG_FinalDozel,aFactionGroupData3F
FG_FinalVelthomer,aFactionGroupData40
FG_FinalBelhalla,aFactionGroupData41
FG_FinalYngvi,aFactionGroupData42
FG_FinalThracia,aFactionGroupData43
FG_Ch06Sofala2,aFactionGroupData44
FG_Ch06Isaach2,aFactionGroupData45
FG_Ch08Munster2,aFactionGroupData46
FG_Ch07Leif,aFactionGroupData47
