.structDeathQuoteEntry 0,CharacterID,DeathQuotePointer
HaroldDeathQuote,Harold,dialogueDeathQuoteGen2EnemyNPCHarold
IucharbaDeathQuote,Iucharba,dialogueDeathQuoteGen2EnemyNPCIucharba
IucharDeathQuote,Iuchar,dialogueDeathQuoteGen2EnemyNPCIuchar
SchmidtDeathQuote,Schmidt,dialogueDeathQuoteGen2EnemyNPCSchmidt
DanannDeathQuote,Danann,dialogueDeathQuoteGen2EnemyNPCDanann
KutuzovDeathQuote,Kutuzov,dialogueDeathQuoteGen2EnemyNPCKutuzov
KutuzovFenrirDeathQuote,KutuzovFenrir,dialogueDeathQuoteGen2EnemyNPCKutuzov
LizaDeathQuote,Liza,dialogueDeathQuoteGen2EnemyNPCLiza
IshtoreDeathQuote,Ishtore,dialogueDeathQuoteGen2EnemyNPCIshtoreLizaDead
JavarroDeathQuote,Javarro,dialogueDeathQuoteGen2EnemyNPCJavarro
BramselDeathQuote,Bramsel,dialogueDeathQuoteGen2EnemyNPCBramsel
BanbaCh07DeathQuote,BanbaCh07,dialogueDeathQuoteGen2EnemyNPCBanbaCh07
FotlaCh07DeathQuote,FotlaCh07,dialogueDeathQuoteGen2EnemyNPCFotlaCh07
EriuCh07DeathQuote,EriuCh07,dialogueDeathQuoteGen2EnemyNPCEriuCh07
TineDeathQuote,Tine,dialogueDeathQuoteGen2EnemyNPCTine
BloomCh07DeathQuote,BloomCh07,dialogueDeathQuoteGen2EnemyNPCBloomCh07
IshtarCh08DeathQuote,IshtarCh08,dialogueDeathQuoteGen2EnemyNPCIshtarCh08
FebailDeathQuote,Febail,dialogueDeathQuoteGen2EnemyNPCFebail
MuhammadDeathQuote,Muhammad,dialogueDeathQuoteGen2EnemyNPCMuhammad
OvoDeathQuote,Ovo,dialogueDeathQuoteGen2EnemyNPCOvo
BanbaCh08DeathQuote,BanbaCh08,dialogueDeathQuoteGen2EnemyNPCBanbaCh08
FotlaCh08DeathQuote,FotlaCh08,dialogueDeathQuoteGen2EnemyNPCFotlaCh08
EriuCh08DeathQuote,EriuCh08,dialogueDeathQuoteGen2EnemyNPCEriuCh08
BloomCh08DeathQuote,BloomCh08,dialogueDeathQuoteGen2EnemyNPCBloomCh08
CoulterDeathQuote,Coulter,dialogueDeathQuoteGen2EnemyNPCCoulter
MaykovDeathQuote,Maykov,dialogueDeathQuoteGen2EnemyNPCMaykov
AltenaDeathQuote,Altena,dialogueDeathQuoteGen2EnemyNPCAltena
HannibalDeathQuote,Hannibal,dialogueDeathQuoteGen2EnemyNPCHannibal
KanatzDeathQuote,Kanatz,dialogueDeathQuoteGen2EnemyNPCKanatz
DistlerDeathQuote,Distler,dialogueDeathQuoteGen2EnemyNPCDistler
MusarDeathQuote,Musar,dialogueDeathQuoteGen2EnemyNPCMusar
JudahDeathQuote,Judah,dialogueDeathQuoteGen2EnemyNPCJudah
ArionCh09DeathQuote,ArionCh09,dialogueDeathQuoteGen2EnemyNPCArionCh09
TravantCh09DeathQuote,TravantCh09,dialogueDeathQuoteGen2EnemyNPCTravantCh09
RiddellDeathQuote,Riddell,dialogueDeathQuoteGen2EnemyNPCRiddell
HildaCh10DeathQuote,HildaCh10,dialogueDeathQuoteGen2EnemyNPCHildaCh10
MorriganDeathQuote,Morrigan,dialogueDeathQuoteGen2EnemyNPCMorrigan
JuliusCh10DeathQuote,JuliusCh10,dialogueDeathQuoteGen2EnemyNPCJuliusCh10
IshtarCh10DeathQuote,IshtarCh10,dialogueDeathQuoteGen2EnemyNPCIshtarCh10
ZagamDeathQuote,Zagam,dialogueDeathQuoteGen2EnemyNPCZagam
ArvisCh10DeathQuote,ArvisCh10,dialogueDeathQuoteGen2EnemyNPCArvisCh10
RobertoDeathQuote,Roberto,dialogueDeathQuoteGen2EnemyNPCRoberto
BoyceDeathQuote,Boyce,dialogueDeathQuoteGen2EnemyNPCBoyce
RodanDeathQuote,Rodan,dialogueDeathQuoteGen2EnemyNPCRodan
JuphielDeathQuote,Juphiel,dialogueDeathQuoteGen2EnemyNPCJuphiel
FisherDeathQuote,Fisher,dialogueDeathQuoteGen2EnemyNPCFisher
BrianDeathQuote,Brian,dialogueDeathQuoteGen2EnemyNPCBrian
DagonDeathQuote,Dagon,dialogueDeathQuoteGen2EnemyNPCDagon
HildaChFinalDeathQuote,HildaChFinal,dialogueDeathQuoteGen2EnemyNPCHildaChFinal
ScipioDeathQuote,Scipio,dialogueDeathQuoteGen2EnemyNPCScipio
BaranDeathQuote,Baran,dialogueDeathQuoteGen2EnemyNPCBaran
MengDeathQuote,Meng,dialogueDeathQuoteGen2EnemyNPCMeng
MabelDeathQuote,Mabel,dialogueDeathQuoteGen2EnemyNPCMabel
BlegDeathQuote,Bleg,dialogueDeathQuoteGen2EnemyNPCBleg
ArionChFinalDeathQuote,ArionChFinal,dialogueDeathQuoteGen2EnemyNPCArionChFinal
IshtarChFinalDeathQuote,IshtarChFinal,dialogueDeathQuoteGen2EnemyNPCIshtarChFinal
ManfroyDeathQuote,Manfroy,dialogueDeathQuoteGen2EnemyNPCManfroy
JuliusChFinalDeathQuote1,JuliusChFinal,dialogueDeathQuoteGen2EnemyNPCJuliusChFinalDefault
JuliusChFinalDeathQuote2,JuliusChFinal,dialogueDeathQuoteGen2EnemyNPCJuliusChFinalJulia
JuliusChFinalDeathQuote3,JuliusChFinal,dialogueDeathQuoteGen2EnemyNPCJuliusChFinalSeliph
JuliaDeathQuote,Julia,dialogueDeathQuoteGen2PlayerJuliaEvil
