.structDeathQuoteEntry 0,CharacterID,DeathQuotePointer
MidirDeathQuote,Midir,dialogueDeathQuoteGen1PlayerMidir
AzelleDeathQuote,Azelle,dialogueDeathQuoteLoverAzelle
JamkeDeathQuote,Jamke,dialogueDeathQuoteLoverJamke
AyraDeathQuote,Ayra,dialogueDeathQuoteLoverAyra
TailtiuDeathQuote,Tailtiu,dialogueDeathQuoteLoverTailtiu
SilviaDeathQuote,Silvia,dialogueDeathQuoteLoverSilvia
EdainDeathQuote,Edain,dialogueDeathQuoteLoverEdain
MuirneDeathQuote,Muirne,dialogueDeathQuoteLoverMuirne
JuliaDeathQuote,Julia,dialogueDeathQuoteLoverJulia
HerminaDeathQuote,Hermina,dialogueDeathQuoteLoverHermina
LayleaDeathQuote,Laylea,dialogueDeathQuoteLoverLaylea
LarceiDeathQuote,Larcei,dialogueDeathQuoteLoverLarcei
LanaDeathQuote,Lana,dialogueDeathQuoteLoverLana
FeeDeathQuote,Fee,dialogueDeathQuoteLoverFee
TineDeathQuote,Tine,dialogueDeathQuoteLoverTine
LeneDeathQuote,Lene,dialogueDeathQuoteLoverLene
