.structLoverID 0,UnitID
SigurdLoverID,Sigurd
NaoiseLoverID,Naoise
AlecLoverID,Alec
ArdenLoverID,Arden
FinnLoverID,Finn
QuanLoverID,Quan
MidirLoverID,Midir
LewynLoverID,Lewyn
ChulainnLoverID,Chulainn
AzelleLoverID,Azelle
JamkeLoverID,Jamke
ClaudLoverID,Claud
BeowulfLoverID,Beowulf
LexLoverID,Lex
DewLoverID,Dew
SeliphLoverID,Seliph
ShannanLoverID,Shannan
DalvinLoverID,Dalvin
AsaelloLoverID,Asaello
LeifLoverID,Leif
IucharLoverID,Iuchar
CharlotLoverID,Charlot
HawkLoverID,Hawk
TristanLoverID,Tristan
AdultFinnLoverID,AdultFinn
DeimneLoverID,Deimne
HannibalLoverID,Hannibal
AresLoverID,Ares
AmidLoverID,Amid
OifeyLoverID,Oifey
IucharbaLoverID,Iucharba
ScathachLoverID,Scathach
FebailLoverID,Febail
CoirpreLoverID,Coirpre
CedLoverID,Ced
DiarmuidLoverID,Diarmuid
LesterLoverID,Lester
ArthurLoverID,Arthur
