.long 0,Pointer
MageFemale,g4bppcMageFemaleMapMovementSprite
Mage,g4bppcMageMapMovementSprite
PriestFemale,g4bppcPriestFemaleMapMovementSprite
JuniorLord,g4bppcJuniorLordMapMovementSprite
Myrmidon,g4bppcMyrmidonMapMovementSprite
LanceArmor,g4bppcLanceArmorMapMovementSprite
Barbarian,g4bppcBarbarianMapMovementSprite
Archer,g4bppcArcherMapMovementSprite
Soldier,g4bppcSoldierMapMovementSprite
ArcherFemale,g4bppcArcherFemaleMapMovementSprite
AxeArmor,g4bppcAxeArmorMapMovementSprite
BowSoldier,g4bppcBowSoldierMapMovementSprite
Dancer,g4bppcDancerMapMovementSprite
MyrmidonFemale,g4bppcMyrmidonFemaleMapMovementSprite
Princess,g4bppcPrincessMapMovementSprite
Thief,g4bppcThiefMapMovementSprite
General,g4bppcGeneralMapMovementSprite
Priestess,g4bppcPriestessMapMovementSprite
Fighter,g4bppcFighterMapMovementSprite
WindMage,g4bppcWindMageMapMovementSprite
WindMageFemale,g4bppcWindMageFemaleMapMovementSprite
Priest,g4bppcPriestMapMovementSprite
Hunter,g4bppcHunterMapMovementSprite
Swordmaster,g4bppcSwordmasterMapMovementSprite
Hero,g4bppcHeroMapMovementSprite
Warrior,g4bppcWarriorMapMovementSprite
Brigand,g4bppcBrigandMapMovementSprite
Pirate,g4bppcPirateMapMovementSprite
HeroFemale,g4bppcHeroFemaleMapMovementSprite
Baron,g4bppcBaronMapMovementSprite
HighPriestFemale,g4bppcHighPriestFemaleMapMovementSprite
SwordmasterFemale,g4bppcSwordmasterFemaleMapMovementSprite
SniperFemale,g4bppcSniperFemaleMapMovementSprite
Sniper,g4bppcSniperMapMovementSprite
Emperor,g4bppcEmperorMapMovementSprite
SwordSoldier,g4bppcSwordSoldierMapMovementSprite
AxeSoldier,g4bppcAxeSoldierMapMovementSprite
SpearSoldier,g4bppcSpearSoldierMapMovementSprite
SwordArmor,g4bppcSwordArmorMapMovementSprite
BowArmor,g4bppcBowArmorMapMovementSprite
FireMageFemale,g4bppcFireMageFemaleMapMovementSprite
FireMage,g4bppcFireMageMapMovementSprite
ThunderMageFemale,g4bppcThunderMageFemaleMapMovementSprite
ThunderMage,g4bppcThunderMageMapMovementSprite
HighPriest,g4bppcHighPriestMapMovementSprite
WarMageFemale,g4bppcWarMageFemaleMapMovementSprite
DarkBishop,g4bppcDarkBishopMapMovementSprite
DarkMage,g4bppcDarkMageMapMovementSprite
Prince,g4bppcPrinceMapMovementSprite
WarMage,g4bppcWarMageMapMovementSprite
ChildFemale,g4bppcChildFemaleMapMovementSprite
Child,g4bppcChildMapMovementSprite
Queen,g4bppcQueenMapMovementSprite
Bishop,g4bppcBishopMapMovementSprite
Civilian,g4bppcCivilianMapMovementSprite
CivilianFemale,g4bppcCivilianFemaleMapMovementSprite
RogueFemale,g4bppcRogueFemaleMapMovementSprite
Bard,g4bppcBardMapMovementSprite
ThiefFemale,g4bppcThiefFemaleMapMovementSprite
Rogue,g4bppcRogueMapMovementSprite
Sage,g4bppcSageMapMovementSprite
SageFemale,g4bppcSageFemaleMapMovementSprite
DarkPrince,g4bppcDarkPrinceMapMovementSprite
SmallOifey,g4bppcSmallOifeyMapMovementSprite
ShortEmpty,g4bppcShortEmptyMapMovementSprite
