.long 0,Pointer
DragonRider,g4bppcDragonRiderMapMovementSprite
Cavalier,g4bppcCavalierMapMovementSprite
PegasusRider,g4bppcPegasusRiderMapMovementSprite
DukeKnight,g4bppcDukeKnightMapMovementSprite
AxeKnight,g4bppcAxeKnightMapMovementSprite
FreeKnight,g4bppcFreeKnightMapMovementSprite
BowKnight,g4bppcBowKnightMapMovementSprite
LanceKnight,g4bppcLanceKnightMapMovementSprite
KnightLordSeliph,g4bppcKnightLordSeliphMapMovementSprite
Troubadour,g4bppcTroubadourMapMovementSprite
KnightLordSigurd,g4bppcKnightLordSigurdMapMovementSprite
Paladin,g4bppcPaladinMapMovementSprite
DragonMaster,g4bppcDragonMasterMapMovementSprite
ArchKnight,g4bppcArchKnightMapMovementSprite
GreatKnight,g4bppcGreatKnightMapMovementSprite
MageKnight,g4bppcMageKnightMapMovementSprite
DragonKnight,g4bppcDragonKnightMapMovementSprite
PegasusKnight,g4bppcPegasusKnightMapMovementSprite
FalconKnight,g4bppcFalconKnightMapMovementSprite
MasterKnight,g4bppcMasterKnightMapMovementSprite
Ranger,g4bppcRangerMapMovementSprite
Ballistician,g4bppcBallisticianMapMovementSprite
IronBallistician,g4bppcIronBallisticianMapMovementSprite
KillerBallistician,g4bppcKillerBallisticianMapMovementSprite
GreatBallistician,g4bppcGreatBallisticianMapMovementSprite
DragonRiderFemale,g4bppcDragonRiderFemaleMapMovementSprite
DragonKnightFemale,g4bppcDragonKnightFemaleMapMovementSprite
DragonMasterFemale,g4bppcDragonMasterFemaleMapMovementSprite
PaladinFemale,g4bppcPaladinFemaleMapMovementSprite
MageKnightFemale,g4bppcMageKnightFemaleMapMovementSprite
MasterKnightFemale,g4bppcMasterKnightFemaleMapMovementSprite
TallEmpty,g4bppcTallEmptyMapMovementSprite
