.structClassROMEntry 0,PromotionLevel,HP,Strength,Magic,Skill,Speed,Defense,Resistance,HPGrowth,StrengthGrowth,MagicGrowth,SkillGrowth,SpeedGrowth,DefenseGrowth,ResistanceGrowth,SwordRank,LanceRank,AxeRank,BowRank,StaffRank,FireRank,ThunderRank,WindRank,LightRank,DarkRank,Movement,MovementType,TerrainBonusType,Skills,Money
Cavalier,$14,$1E,$07,$00,$06,$06,$06,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$01,$02,$03,$03,$03,$03,$03,$03,$03,$03,$08,$00,$00,$0001,$0A
LanceKnight,$14,$1E,$07,$00,$06,$06,$06,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$01,$03,$03,$03,$03,$03,$03,$03,$03,$08,$00,$00,$0001,$0A
BowKnight,$14,$1E,$07,$00,$06,$06,$06,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$03,$03,$01,$03,$03,$03,$03,$03,$03,$08,$00,$00,$0001,$0A
AxeKnight,$14,$1E,$07,$00,$06,$06,$06,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$03,$01,$03,$03,$03,$03,$03,$03,$03,$08,$00,$00,$0001,$0A
FreeKnight,$14,$1E,$07,$00,$06,$06,$06,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$01,$03,$03,$03,$03,$03,$03,$03,$03,$03,$08,$00,$00,$0001,$0A
Troubadour,$14,$1A,$03,$03,$06,$06,$03,$03,$64,$1E,$0A,$1E,$1E,$14,$0A,$01,$03,$03,$03,$02,$03,$03,$03,$03,$03,$08,$00,$00,$0201,$0A
KnightLord,$14,$28,$0A,$00,$07,$07,$07,$03,$64,$1E,$0A,$1E,$1E,$1E,$0A,$00,$01,$03,$03,$03,$03,$03,$03,$03,$03,$09,$01,$00,$0401,$1E
DukeKnight,$14,$28,$0C,$00,$07,$07,$08,$03,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$00,$03,$03,$03,$03,$03,$03,$03,$03,$09,$01,$00,$0001,$1E
MasterKnight,$14,$28,$0C,$07,$0C,$0C,$0C,$07,$64,$1E,$0A,$1E,$1E,$1E,$0A,$00,$00,$00,$00,$00,$00,$00,$00,$02,$03,$09,$01,$00,$0009,$1E
Paladin,$14,$28,$09,$05,$09,$09,$09,$05,$64,$1E,$0A,$1E,$1E,$1E,$0A,$01,$01,$03,$03,$03,$03,$03,$03,$03,$03,$09,$01,$00,$0001,$1E
PaladinF,$14,$28,$09,$05,$09,$09,$09,$05,$64,$1E,$0A,$1E,$1E,$1E,$0A,$01,$02,$03,$03,$02,$03,$03,$03,$03,$03,$09,$01,$00,$0001,$1E
ArchKnight,$14,$28,$0A,$00,$08,$08,$08,$03,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$03,$03,$00,$03,$03,$03,$03,$03,$03,$09,$01,$00,$0001,$1E
Ranger,$14,$28,$08,$00,$0F,$0C,$08,$03,$64,$1E,$0A,$1E,$1E,$1E,$0A,$00,$03,$03,$03,$03,$03,$03,$03,$03,$03,$09,$01,$00,$0011,$1E
MageKnight,$14,$28,$05,$0A,$07,$07,$05,$07,$64,$1E,$14,$1E,$1E,$14,$14,$01,$03,$03,$03,$03,$01,$01,$01,$03,$03,$09,$01,$00,$0001,$1E
GreatKnight,$14,$28,$0C,$00,$07,$07,$0A,$03,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$03,$00,$03,$03,$03,$03,$03,$03,$03,$09,$01,$00,$0001,$1E
PegasusRider,$01,$1E,$06,$00,$05,$0A,$03,$05,$64,$1E,$0A,$1E,$1E,$1E,$0A,$02,$02,$03,$03,$03,$03,$03,$03,$03,$03,$08,$02,$01,$0001,$0A
PegasusKnight,$14,$23,$07,$00,$07,$0C,$05,$07,$64,$1E,$0A,$1E,$1E,$1E,$0A,$01,$01,$03,$03,$03,$03,$03,$03,$03,$03,$08,$02,$01,$0001,$1E
FalconKnight,$14,$28,$07,$07,$0A,$0F,$06,$0C,$64,$1E,$0A,$1E,$1E,$1E,$0A,$00,$00,$03,$03,$02,$03,$03,$03,$03,$03,$08,$02,$01,$0011,$32
Dragonrider,$01,$23,$09,$00,$05,$05,$08,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$02,$02,$03,$03,$03,$03,$03,$03,$03,$03,$09,$02,$01,$0001,$0A
Dragonknight,$14,$28,$0A,$00,$07,$06,$0B,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$01,$01,$03,$03,$03,$03,$03,$03,$03,$03,$09,$02,$01,$0001,$1E
Dragonmaster,$14,$2D,$0C,$00,$09,$07,$0E,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$00,$00,$03,$03,$03,$03,$03,$03,$03,$03,$09,$02,$01,$0009,$32
Archer,$01,$1E,$07,$00,$0A,$0A,$05,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$03,$03,$00,$03,$03,$03,$03,$03,$03,$06,$03,$00,$0008,$0A
Myrmidon,$01,$1E,$07,$00,$0A,$0A,$05,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$00,$03,$03,$03,$03,$03,$03,$03,$03,$03,$06,$03,$00,$0008,$0A
Swordmaster,$14,$28,$0C,$00,$0F,$0F,$07,$03,$64,$1E,$0A,$1E,$1E,$1E,$0A,$00,$03,$03,$03,$03,$03,$03,$03,$03,$03,$06,$03,$00,$0018,$1E
Sniper,$14,$28,$0C,$00,$0C,$0C,$07,$03,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$03,$03,$00,$03,$03,$03,$03,$03,$03,$06,$03,$00,$0008,$1E
Hero,$14,$28,$0C,$03,$0C,$0C,$07,$03,$64,$1E,$0A,$1E,$1E,$1E,$0A,$00,$03,$03,$03,$03,$03,$03,$03,$03,$03,$06,$03,$00,$0008,$1E
General,$14,$28,$0A,$00,$06,$05,$0C,$03,$64,$1E,$0A,$1E,$1E,$1E,$0A,$00,$00,$01,$01,$03,$03,$03,$03,$03,$03,$05,$04,$00,$0002,$1E
Emperor,$14,$2D,$0F,$0F,$0F,$0F,$0F,$0F,$64,$1E,$0A,$1E,$1E,$1E,$0A,$00,$00,$00,$00,$00,$00,$00,$00,$03,$03,$05,$04,$00,$0802,$3C
Baron,$14,$2D,$0C,$07,$07,$07,$0C,$07,$64,$1E,$0A,$1E,$1E,$1E,$0A,$00,$00,$00,$00,$00,$00,$00,$00,$03,$03,$05,$04,$00,$0002,$32
Soldier,$14,$1E,$06,$00,$05,$05,$07,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$02,$03,$03,$03,$03,$03,$03,$03,$03,$06,$05,$00,$0000,$0A
SpearSoldier,$14,$1E,$06,$00,$05,$05,$07,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$01,$03,$03,$03,$03,$03,$03,$03,$03,$06,$05,$00,$0000,$0A
