.structClassNameOffset 0,Offset
CavalierClassName,aClassNames.Cavalier
LanceKnightClassName,aClassNames.LanceKnight
BowKnightClassName,aClassNames.BowKnight
AxeKnightClassName,aClassNames.AxeKnight
FreeKnightClassName,aClassNames.FreeKnight
TroubadourClassName,aClassNames.Troubadour
KnightLordClassName,aClassNames.KnightLord
DukeKnightClassName,aClassNames.DukeKnight
MasterKnightClassName,aClassNames.MasterKnight
PaladinClassName,aClassNames.Paladin
PaladinFClassName,aClassNames.Paladin
ArchKnightClassName,aClassNames.ArchKnight
RangerClassName,aClassNames.Ranger
MageKnightClassName,aClassNames.MageKnight
GreatKnightClassName,aClassNames.GreatKnight
PegasusRiderClassName,aClassNames.PegasusRider
PegasusKnightClassName,aClassNames.PegasusKnight
FalconKnightClassName,aClassNames.FalconKnight
DragonRiderClassName,aClassNames.DragonRider
DragonKnightClassName,aClassNames.DragonKnight
DragonmasterClassName,aClassNames.Dragonmaster
ArcherClassName,aClassNames.Archer
MyrmidonClassName,aClassNames.Myrmidon
SwordmasterClassName,aClassNames.Swordmaster
SniperClassName,aClassNames.Sniper
HeroClassName,aClassNames.Hero
GeneralClassName,aClassNames.General
EmperorClassName,aClassNames.Emperor
BaronClassName,aClassNames.Baron
SoldierClassName,aClassNames.Soldier
SpearSoldierClassName,aClassNames.SpearSoldier
AxeSolderClassName,aClassNames.AxeSolder
BowSoldierClassName,aClassNames.BowSoldier
SwordSoldierClassName,aClassNames.SwordSoldier
LanceArmorClassName,aClassNames.LanceArmor
AxeArmorClassName,aClassNames.AxeArmor
BowArmorClassName,aClassNames.BowArmor
SwordArmorClassName,aClassNames.SwordArmor
BarbarianClassName,aClassNames.Barbarian
FighterClassName,aClassNames.Fighter
BrigandClassName,aClassNames.Brigand
WarriorClassName,aClassNames.Warrior
HunterClassName,aClassNames.Hunter
PirateClassName,aClassNames.Pirate
JuniorLordClassName,aClassNames.JuniorLord
WarMageClassName,aClassNames.WarMage
PrinceClassName,aClassNames.Prince
PrincessClassName,aClassNames.Princess
WarMageFClassName,aClassNames.WarMageF
QueenClassName,aClassNames.Queen
DancerClassName,aClassNames.Dancer
PriestClassName,aClassNames.Priest
MageClassName,aClassNames.Mage
FireMageClassName,aClassNames.FireMage
ThunderMageClassName,aClassNames.ThunderMage
WindMageClassName,aClassNames.WindMage
HighPriestClassName,aClassNames.HighPriest
BishopClassName,aClassNames.Bishop
SageClassName,aClassNames.Sage
BardClassName,aClassNames.Bard
PriestessClassName,aClassNames.Priestess
DarkMageClassName,aClassNames.DarkMage
DarkBishopClassName,aClassNames.DarkBishop
ThiefClassName,aClassNames.Thief
RogueClassName,aClassNames.Rogue
CivilianClassName,aClassNames.Civilian
ChildClassName,aClassNames.Child
BallistaClassName,aClassNames.Ballista
IronBallistaClassName,aClassNames.IronBallista
KillerBallistaClassName,aClassNames.KillerBallista
GreatBallistaClassName,aClassNames.GreatBallista
DarkPrinceClassName,aClassNames.DarkPrince
