.word 0,PortraitID
ClassPortraitCavalier,$00B9
ClassPortraitLanceKnight,$00BA
ClassPortraitBowKnight,$00BB
ClassPortraitAxeKnight,$00BC
ClassPortraitFreeKnight,$00BD
ClassPortraitTroubadour,$00BD
ClassPortraitKnightLord,$00F3
ClassPortraitDukeKnight,$00BE
ClassPortraitMasterKnight,$00F3
ClassPortraitPaladin,$00BF
ClassPortraitPaladinF,$00BF
ClassPortraitArchKnight,$00C0
ClassPortraitRanger,$00BD
ClassPortraitMageKnight,$00C1
ClassPortraitGreatKnight,$00C2
ClassPortraitPegasusRider,$00C3
ClassPortraitPegasusKnight,$00C4
ClassPortraitFalconKnight,$00F3
ClassPortraitDragonRider,$00C5
ClassPortraitDragonKnight,$00C6
ClassPortraitDragonmaster,$00F3
ClassPortraitArcher,$00C7
ClassPortraitMyrmidon,$00C8
ClassPortraitSwordmaster,$00F2
ClassPortraitSniper,$00C9
ClassPortraitHero,$00CA
ClassPortraitGeneral,$00CB
ClassPortraitEmperor,$00F3
ClassPortraitBaron,$00CC
ClassPortraitSoldier,$00CD
ClassPortraitSpearSoldier,$00CE
ClassPortraitAxeSolder,$00CF
ClassPortraitBowSoldier,$00D0
ClassPortraitSwordSoldier,$00D1
ClassPortraitLanceArmor,$00D2
ClassPortraitAxeArmor,$00D3
ClassPortraitBowArmor,$00D4
ClassPortraitSwordArmor,$00D5
ClassPortraitBarbarian,$00D6
ClassPortraitFighter,$00D7
ClassPortraitBrigand,$00D8
ClassPortraitWarrior,$00D9
ClassPortraitHunter,$00DA
ClassPortraitPirate,$00DB
ClassPortraitJuniorLord,$00F3
ClassPortraitWarMage,$00DC
ClassPortraitPrince,$00F3
ClassPortraitPrincess,$00F3
ClassPortraitWarMageF,$00DD
ClassPortraitQueen,$00F3
ClassPortraitDancer,$00F3
ClassPortraitPriest,$00DE
ClassPortraitMage,$00DF
ClassPortraitFireMage,$00E0
ClassPortraitThunderMage,$00E1
ClassPortraitWindMage,$00E2
ClassPortraitHighPriest,$00E3
ClassPortraitBishop,$00E4
ClassPortraitSage,$00F0
ClassPortraitBard,$00F3
ClassPortraitPriestess,$00EF
ClassPortraitDarkMage,$00E5
ClassPortraitDarkBishop,$00E6
ClassPortraitThief,$00E7
ClassPortraitRogue,$00F1
ClassPortraitCivilian,$00E9
ClassPortraitChild,$00EA
ClassPortraitBallista,$00EB
ClassPortraitIronBallista,$00EC
ClassPortraitKillerBallista,$00ED
ClassPortraitGreatBallista,$00EE
ClassPortraitDarkPrince,$00F3
