.addr 0,Pointer
Sigurd,dialogueCharacterNameSigurd
Naoise,dialogueCharacterNameNaoise
Alec,dialogueCharacterNameAlec
Arden,dialogueCharacterNameArden
Finn,dialogueCharacterNameFinn
Quan,dialogueCharacterNameQuan
Midir,dialogueCharacterNameMidir
Lewyn,dialogueCharacterNameLewyn
Chulainn,dialogueCharacterNameChulainn
Azelle,dialogueCharacterNameAzelle
Jamke,dialogueCharacterNameJamke
Claud,dialogueCharacterNameClaud
Beowulf,dialogueCharacterNameBeowulf
Lex,dialogueCharacterNameLex
Dew,dialogueCharacterNameDew
Deirdre,dialogueCharacterNameDeirdre
Ethlyn,dialogueCharacterNameEthlyn
Lachesis,dialogueCharacterNameLachesis
Ayra,dialogueCharacterNameAyra
Erinys,dialogueCharacterNameErinys
Tailtiu,dialogueCharacterNameTailtiu
Silvia,dialogueCharacterNameSilvia
Edain,dialogueCharacterNameEdain
Brigid,dialogueCharacterNameBrigid
Seliph,dialogueCharacterNameSeliph
Shannan,dialogueCharacterNameShannan
Dalvin,dialogueCharacterNameDalvin
Asaello,dialogueCharacterNameAsaello
Leif,dialogueCharacterNameLeif
Iuchar,dialogueCharacterNameIuchar
Charlot,dialogueCharacterNameCharlot
Hawk,dialogueCharacterNameHawk
Tristan,dialogueCharacterNameTristan
AdultFinn,dialogueCharacterNameAdultFinn
Deimne,dialogueCharacterNameDeimne
Hannibal,dialogueCharacterNameHannibal
Ares,dialogueCharacterNameAres
Amid,dialogueCharacterNameAmid
Oifey,dialogueCharacterNameOifey
Daisy,dialogueCharacterNameDaisy
Creidne,dialogueCharacterNameCreidne
Muirne,dialogueCharacterNameMuirne
Julia,dialogueCharacterNameJulia
Altena,dialogueCharacterNameAltena
Hermina,dialogueCharacterNameHermina
Linda,dialogueCharacterNameLinda
Laylea,dialogueCharacterNameLaylea
Jeanne,dialogueCharacterNameJeanne
Scathach,dialogueCharacterNameScathach
Febail,dialogueCharacterNameFebail
Iucharba,dialogueCharacterNameIucharba
Coirpre,dialogueCharacterNameCoirpre
Ced,dialogueCharacterNameCed
Diarmuid,dialogueCharacterNameDiarmuid
Lester,dialogueCharacterNameLester
Arthur,dialogueCharacterNameArthur
Patty,dialogueCharacterNamePatty
Larcei,dialogueCharacterNameLarcei
Lana,dialogueCharacterNameLana
Fee,dialogueCharacterNameFee
Tine,dialogueCharacterNameTine
Lene,dialogueCharacterNameLene
Nanna,dialogueCharacterNameNanna
