.addr 0,Pointer
Cavalier,dialogueClassNameCavalier
LanceKnight,dialogueClassNameLanceKnight
BowKnight,dialogueClassNameBowKnight
AxeKnight,dialogueClassNameAxeKnight
FreeKnight,dialogueClassNameFreeKnight
Troubadour,dialogueClassNameTroubadour
KnightLord,dialogueClassNameKnightLord
DukeKnight,dialogueClassNameDukeKnight
MasterKnight,dialogueClassNameMasterKnight
Paladin,dialogueClassNamePaladin
PaladinF,dialogueClassNamePaladin
ArchKnight,dialogueClassNameArchKnight
Ranger,dialogueClassNameRanger
MageKnight,dialogueClassNameMageKnight
GreatKnight,dialogueClassNameGreatKnight
PegasusRider,dialogueClassNamePegasusRider
PegasusKnight,dialogueClassNamePegasusKnight
FalconKnight,dialogueClassNameFalconKnight
Dragonrider,dialogueClassNameDragonrider
Dragonknight,dialogueClassNameDragonknight
Dragonmaster,dialogueClassNameDragonmaster
Archer,dialogueClassNameArcher
Myrmidon,dialogueClassNameMyrmidon
Swordmaster,dialogueClassNameSwordmaster
Sniper,dialogueClassNameSniper
Hero,dialogueClassNameHero
General,dialogueClassNameGeneral
Emperor,dialogueClassNameEmperor
Baron,dialogueClassNameBaron
Soldier,dialogueClassNameSoldier
SpearSoldier,dialogueClassNameSpearSoldier
AxeSoldier,dialogueClassNameAxeSoldier
BowSoldier,dialogueClassNameBowSoldier
SwordSoldier,dialogueClassNameSwordSoldier
LanceArmor,dialogueClassNameLanceArmor
AxeArmor,dialogueClassNameAxeArmor
BowArmor,dialogueClassNameBowArmor
SwordArmor,dialogueClassNameSwordArmor
Barbarian,dialogueClassNameBarbarian
Fighter,dialogueClassNameFighter
Brigand,dialogueClassNameBrigand
Warrior,dialogueClassNameWarrior
Hunter,dialogueClassNameHunter
Pirate,dialogueClassNamePirate
JuniorLord,dialogueClassNameJuniorLord
WarMage,dialogueClassNameWarMage
Prince,dialogueClassNamePrince
Princess,dialogueClassNamePrincess
WarMageF,dialogueClassNameWarMageF
Queen,dialogueClassNameQueen
Dancer,dialogueClassNameDancer
Priest,dialogueClassNamePriest
Mage,dialogueClassNameMage
FireMage,dialogueClassNameFireMage
ThunderMage,dialogueClassNameThunderMage
WindMage,dialogueClassNameWindMage
HighPriest,dialogueClassNameHighPriest
Bishop,dialogueClassNameBishop
Sage,dialogueClassNameSage
Bard,dialogueClassNameBard
Priestess,dialogueClassNamePriestess
DarkMage,dialogueClassNameDarkMage
DarkBishop,dialogueClassNameDarkBishop
Thief,dialogueClassNameThief
Rogue,dialogueClassNameRogue
Civilian,dialogueClassNameCivilian
Child,dialogueClassNameChild
Ballistician,dialogueClassNameBallistician
IronBallistician,dialogueClassNameIronBallistician
KillerBallistician,dialogueClassNameKillerBallistician
GreatBallistician,dialogueClassNameGreatBallistician
DarkPrince,dialogueClassNameDarkPrince
