.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,DarkBishop1,$38,$2F,$01,$01,$02,$00
ID_02,Mercenary13,$37,$30,$00,$01,$02,$01
ID_03,Mercenary13,$39,$30,$00,$01,$02,$02
ID_04,Mercenary12,$36,$2F,$00,$01,$02,$03
ID_05,Mercenary12,$3A,$2F,$00,$01,$02,$04
ID_06,DarkMage3,$38,$2D,$00,$01,$02,$05
ID_07,DarkMage3,$36,$2D,$00,$01,$02,$06
ID_08,DarkMage2,$3A,$2D,$00,$01,$02,$07
ID_09,DarkMage2,$37,$2E,$00,$01,$02,$08
ID_10,DarkMage2,$39,$2E,$00,$01,$02,$09
ID_11,DarkMage2,$34,$2F,$00,$01,$02,$0A
ID_12,DarkMage10,$35,$2F,$00,$02,$02,$0F
ID_13,DarkMage11,$37,$2F,$00,$02,$02,$10
ID_14,DarkMage10,$39,$2F,$00,$02,$02,$11
ID_15,DarkMage11,$3B,$2F,$00,$02,$02,$12
ID_16,Child2,$26,$2B,$00,$01,$01,$00
ID_17,Child2,$25,$2A,$00,$01,$01,$01
ID_18,Child2,$26,$2A,$00,$01,$01,$02
ID_19,Child3,$25,$2B,$00,$01,$01,$03
ID_20,Child3,$26,$29,$00,$01,$01,$04
ID_21,Child3,$27,$2B,$00,$01,$01,$05
ID_22,Pirate12,$32,$3D,$00,$05,$04,$00
ID_23,Pirate12,$30,$3D,$00,$05,$04,$00
ID_24,Pirate12,$0E,$3D,$00,$05,$04,$00
ID_25,Pirate12,$09,$3D,$00,$05,$04,$00
ID_26,Pirate12,$27,$10,$00,$05,$04,$00
ID_27,$FFFF,0,0,0,0,0,0
