.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Commander1,28,50,1,1,FS_Ch01Marpha,0
ID_02,VerdaneArmy11,28,49,0,1,FS_Ch01Marpha,1
ID_03,VerdaneArmy11,28,51,0,1,FS_Ch01Marpha,2
ID_04,VerdaneArmy11,29,50,0,1,FS_Ch01Marpha,3
ID_05,VerdaneArmy11,29,49,0,1,FS_Ch01Marpha,4
ID_06,VerdaneArmy11,29,51,0,1,FS_Ch01Marpha,5
ID_07,VerdaneArmy11,28,48,0,1,FS_Ch01Marpha,6
ID_08,VerdaneArmy11,28,52,0,1,FS_Ch01Marpha,7
ID_09,VerdaneArmy11,29,48,0,1,FS_Ch01Marpha,8
ID_10,VerdaneArmy11,29,52,0,1,FS_Ch01Marpha,9
ID_11,Munnir,24,49,1,2,FS_Ch01Marpha,0
ID_12,VerdaneArmy12,24,52,0,2,FS_Ch01Marpha,1
ID_13,VerdaneArmy12,23,51,0,2,FS_Ch01Marpha,2
ID_14,VerdaneArmy12,25,51,0,2,FS_Ch01Marpha,3
ID_15,VerdaneArmy13,24,53,0,2,FS_Ch01Marpha,4
ID_16,VerdaneArmy13,23,52,0,2,FS_Ch01Marpha,5
ID_17,VerdaneArmy13,25,52,0,2,FS_Ch01Marpha,6
ID_18,VerdaneArmy13,22,51,0,2,FS_Ch01Marpha,7
ID_19,VerdaneArmy13,26,51,0,2,FS_Ch01Marpha,8
ID_20,VerdaneArmy13,22,52,0,2,FS_Ch01Marpha,9
ID_21,VerdaneArmy13,26,52,0,2,FS_Ch01Marpha,10
ID_22,$FFFF,0,0,0,0,0,0
