.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Jamke,12,33,1,1,FS_Ch01Verdane,0
ID_02,VerdaneArmy16,13,32,0,1,FS_Ch01Verdane,1
ID_03,VerdaneArmy16,11,32,0,1,FS_Ch01Verdane,2
ID_04,VerdaneArmy16,14,33,0,1,FS_Ch01Verdane,3
ID_05,VerdaneArmy16,10,33,0,1,FS_Ch01Verdane,4
ID_06,VerdaneArmy16,12,35,0,1,FS_Ch01Verdane,5
ID_07,VerdaneArmy16,14,35,0,1,FS_Ch01Verdane,6
ID_08,VerdaneArmy16,10,35,0,1,FS_Ch01Verdane,7
ID_09,VerdaneArmy16,13,34,0,1,FS_Ch01Verdane,8
ID_10,VerdaneArmy16,11,34,0,1,FS_Ch01Verdane,9
ID_11,VerdaneArmy16,16,33,0,1,FS_Ch01Verdane,10
ID_12,VerdaneArmy16,8,33,0,1,FS_Ch01Verdane,11
ID_13,Sandima,9,24,1,2,FS_Ch01Verdane,0
ID_14,VerdaneArmy14,9,27,0,2,FS_Ch01Verdane,1
ID_15,VerdaneArmy14,8,26,0,2,FS_Ch01Verdane,2
ID_16,VerdaneArmy14,10,26,0,2,FS_Ch01Verdane,3
ID_17,VerdaneArmy14,9,28,0,2,FS_Ch01Verdane,4
ID_18,VerdaneArmy14,8,27,0,2,FS_Ch01Verdane,5
ID_19,VerdaneArmy14,10,27,0,2,FS_Ch01Verdane,6
ID_20,VerdaneArmy14,7,26,0,2,FS_Ch01Verdane,7
ID_21,VerdaneArmy14,11,26,0,2,FS_Ch01Verdane,8
ID_22,VerdaneArmy15,7,27,0,2,FS_Ch01Verdane,9
ID_23,VerdaneArmy15,11,27,0,2,FS_Ch01Verdane,10
ID_24,$FFFF,0,0,0,0,0,0
