.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Zane,52,1,1,6,FS_Ch02Agusti,0
ID_02,ZaneSquadTroubadour,53,1,0,6,FS_Ch02Agusti,1
ID_03,ZaneSquadTroubadour,51,1,0,6,FS_Ch02Agusti,2
ID_04,ZaneSquadTroubadour,52,2,0,6,FS_Ch02Agusti,3
ID_05,ZaneSquadLanceKnight,53,2,0,6,FS_Ch02Agusti,4
ID_06,ZaneSquadLanceKnight,51,2,0,6,FS_Ch02Agusti,5
ID_07,ZaneSquadLanceKnight,54,1,0,6,FS_Ch02Agusti,6
ID_08,ZaneSquadLanceKnight,50,1,0,6,FS_Ch02Agusti,7
ID_09,ZaneSquadLanceKnight,54,2,0,6,FS_Ch02Agusti,8
ID_10,ZaneSquadLanceKnight,50,2,0,6,FS_Ch02Agusti,9
ID_11,ZaneSquadAxeKnight,55,1,0,6,FS_Ch02Agusti,10
ID_12,ZaneSquadAxeKnight,49,1,0,6,FS_Ch02Agusti,11
ID_13,ZaneSquadAxeKnight,55,2,0,6,FS_Ch02Agusti,12
ID_14,ZaneSquadAxeKnight,49,2,0,6,FS_Ch02Agusti,13
ID_15,ZaneSquadBowKnight,56,1,0,6,FS_Ch02Agusti,14
ID_16,ZaneSquadBowKnight,48,1,0,6,FS_Ch02Agusti,15
ID_17,ZaneSquadBowKnight,56,2,0,6,FS_Ch02Agusti,16
ID_18,ZaneSquadBowKnight,48,2,0,6,FS_Ch02Agusti,17
ID_19,$FFFF,0,0,0,0,0,0
