.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,MacBeth,12,3,1,3,FS_Ch02Infini,0
ID_02,InfiniBowArmor,12,6,0,3,FS_Ch02Infini,1
ID_03,InfiniBowArmor,11,5,0,3,FS_Ch02Infini,2
ID_04,InfiniBowArmor,13,5,0,3,FS_Ch02Infini,3
ID_05,InfiniAxeArmor,12,7,0,3,FS_Ch02Infini,4
ID_06,InfiniAxeArmor,11,6,0,3,FS_Ch02Infini,5
ID_07,InfiniAxeArmor,13,6,0,3,FS_Ch02Infini,6
ID_08,InfiniSwordArmor,10,5,0,3,FS_Ch02Infini,7
ID_09,InfiniSwordArmor,14,5,0,3,FS_Ch02Infini,8
ID_10,InfiniSwordArmor,10,6,0,3,FS_Ch02Infini,9
ID_11,InfiniSwordArmor,14,6,0,3,FS_Ch02Infini,10
ID_12,Waltz,35,1,1,2,FS_Ch02Infini,0
ID_13,WaltzSquadFreeKnight,35,2,0,2,FS_Ch02Infini,1
ID_14,WaltzSquadFreeKnight,36,2,0,2,FS_Ch02Infini,2
ID_15,WaltzSquadFreeKnight,34,2,0,2,FS_Ch02Infini,3
ID_16,WaltzSquadFreeKnight,37,2,0,2,FS_Ch02Infini,4
ID_17,WaltzSquadFreeKnight,33,2,0,2,FS_Ch02Infini,5
ID_18,WaltzSquadFreeKnight,38,2,0,2,FS_Ch02Infini,6
ID_19,WaltzSquadFreeKnight,32,2,0,2,FS_Ch02Infini,7
ID_20,WaltzSquadFreeKnight,39,2,0,2,FS_Ch02Infini,8
ID_21,WaltzSquadFreeKnight,31,2,0,2,FS_Ch02Infini,9
ID_22,WaltzSquadFreeKnight,40,2,0,2,FS_Ch02Infini,10
ID_23,WaltzSquadFreeKnight,30,2,0,2,FS_Ch02Infini,11
ID_24,Beowulf,34,1,1,5,FS_Ch02Infini,18
ID_25,$FFFF,0,0,0,0,0,0
