.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Clement,43,29,1,2,FS_Ch02Mackily,0
ID_02,MackilyFireMage,43,32,0,2,FS_Ch02Mackily,1
ID_03,MackilyFireMage,42,31,0,2,FS_Ch02Mackily,2
ID_04,MackilyFireMage,44,31,0,2,FS_Ch02Mackily,3
ID_05,MackilyMyrmidon,43,33,0,2,FS_Ch02Mackily,4
ID_06,MackilyMyrmidon,42,32,0,2,FS_Ch02Mackily,5
ID_07,MackilyMyrmidon,44,32,0,2,FS_Ch02Mackily,6
ID_08,MackilyArcher,41,31,0,2,FS_Ch02Mackily,7
ID_09,MackilyArcher,45,31,0,2,FS_Ch02Mackily,8
ID_10,MackilyMyrmidon,41,32,0,2,FS_Ch02Mackily,9
ID_11,MackilyMyrmidon,45,32,0,2,FS_Ch02Mackily,10
ID_12,Commander5,43,35,1,3,FS_Ch02Mackily,0
ID_13,MackilyBallistician,43,36,0,3,FS_Ch02Mackily,1
ID_14,MackilyBallistician,44,36,0,3,FS_Ch02Mackily,2
ID_15,MackilyBallistician,42,36,0,3,FS_Ch02Mackily,3
ID_16,MackilyBallistician,43,37,0,3,FS_Ch02Mackily,4
ID_17,AgustiLanceArmor,52,11,0,1,FS_Ch02Agusti,0
ID_18,AgustiLanceArmor,55,11,0,1,FS_Ch02Agusti,0
ID_19,AgustiLanceArmor,51,11,0,1,FS_Ch02Agusti,0
ID_20,AgustiLanceArmor,57,10,0,1,FS_Ch02Agusti,0
ID_21,AgustiLanceArmor,50,10,0,1,FS_Ch02Agusti,0
ID_22,Commander6,60,11,1,2,FS_Ch02Agusti,0
ID_23,AgustiCavalier,60,12,0,2,FS_Ch02Agusti,1
ID_24,AgustiCavalier,61,12,0,2,FS_Ch02Agusti,2
ID_25,AgustiCavalier,59,12,0,2,FS_Ch02Agusti,3
ID_26,AgustiCavalier,60,13,0,2,FS_Ch02Agusti,4
ID_27,Commander7,49,14,1,3,FS_Ch02Agusti,0
ID_28,AgustiLanceKnight,49,15,0,3,FS_Ch02Agusti,1
ID_29,AgustiLanceKnight,50,15,0,3,FS_Ch02Agusti,2
ID_30,AgustiLanceKnight,48,15,0,3,FS_Ch02Agusti,3
ID_31,AgustiLanceKnight,49,16,0,3,FS_Ch02Agusti,4
ID_32,Erinys,56,5,1,4,FS_Ch02Agusti,0
ID_33,ErinysSquad,56,6,0,4,FS_Ch02Agusti,1
ID_34,ErinysSquad,57,6,0,4,FS_Ch02Agusti,2
ID_35,ErinysSquad,55,6,0,4,FS_Ch02Agusti,3
ID_36,ErinysSquad,56,7,0,4,FS_Ch02Agusti,4
ID_37,ChagallCh02,53,6,1,5,FS_Ch02Agusti,0
ID_38,AgustiBallistician,53,9,0,5,FS_Ch02Agusti,1
ID_39,AgustiBallistician,52,8,0,5,FS_Ch02Agusti,2
ID_40,AgustiBallistician,54,8,0,5,FS_Ch02Agusti,3
ID_41,$FFFF,0,0,0,0,0,0
