.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Commander4,10,21,1,1,FS_Ch02Infini,0
ID_02,InfiniArmy1,9,21,0,1,FS_Ch02Infini,1
ID_03,InfiniArmy1,11,21,0,1,FS_Ch02Infini,2
ID_04,MackilyArmy1,40,34,0,1,FS_Ch02Mackily,0
ID_05,MackilyArmy1,57,36,0,1,FS_Ch02Mackily,0
ID_06,Bandit1,14,5,0,4,FS_Ch02Infini,0
ID_07,Bandit1,12,7,0,4,FS_Ch02Infini,0
ID_08,Bandit1,11,6,0,4,FS_Ch02Infini,0
ID_09,Bandit1,13,6,0,4,FS_Ch02Infini,0
ID_10,$FFFF,0,0,0,0,0,0
