.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Brigid,33,5,0,1,FS_Player,0
ID_02,Pirate2,39,9,0,2,FS_Ch03Orgahil,1
ID_03,Pirate2,41,9,0,2,FS_Ch03Orgahil,2
ID_04,Pirate2,38,10,0,2,FS_Ch03Orgahil,3
ID_05,Pirate2,42,10,0,2,FS_Ch03Orgahil,4
ID_06,Pirate4,40,12,0,2,FS_Ch03Orgahil,5
ID_07,Pirate4,38,12,0,2,FS_Ch03Orgahil,6
ID_08,Pirate4,42,12,0,2,FS_Ch03Orgahil,7
ID_09,Pirate4,39,11,0,2,FS_Ch03Orgahil,8
ID_10,Pirate4,41,11,0,2,FS_Ch03Orgahil,9
ID_11,Pirate3,36,10,0,2,FS_Ch03Orgahil,10
ID_12,Pirate3,44,10,0,2,FS_Ch03Orgahil,11
ID_13,Pirate3,37,9,0,2,FS_Ch03Orgahil,12
ID_14,Pirate3,43,9,0,2,FS_Ch03Orgahil,13
ID_15,Pirate5,37,11,0,2,FS_Ch03Orgahil,14
ID_16,Pirate5,43,11,0,2,FS_Ch03Orgahil,15
ID_17,Pirate5,36,12,0,2,FS_Ch03Orgahil,16
ID_18,Pirate5,44,12,0,2,FS_Ch03Orgahil,17
ID_19,Duvall,52,4,1,3,FS_Ch03Orgahil,0
ID_20,Pirate6,52,7,0,3,FS_Ch03Orgahil,1
ID_21,Pirate6,51,6,0,3,FS_Ch03Orgahil,2
ID_22,Pirate6,53,6,0,3,FS_Ch03Orgahil,3
ID_23,Pizare,40,13,1,4,FS_Ch03Orgahil,0
ID_24,Pirate8,39,13,0,4,FS_Ch03Orgahil,1
ID_25,Pirate8,41,13,0,4,FS_Ch03Orgahil,2
ID_26,Pirate8,40,14,0,4,FS_Ch03Orgahil,3
ID_27,Pirate8,39,14,0,4,FS_Ch03Orgahil,4
ID_28,Pirate8,41,14,0,4,FS_Ch03Orgahil,5
ID_29,Pirate7,40,15,0,4,FS_Ch03Orgahil,6
ID_30,Pirate7,41,15,0,4,FS_Ch03Orgahil,7
ID_31,Pirate7,39,15,0,4,FS_Ch03Orgahil,8
ID_32,Pirate7,40,16,0,4,FS_Ch03Orgahil,9
ID_33,Pirate7,41,16,0,4,FS_Ch03Orgahil,10
ID_34,Pirate7,39,16,0,4,FS_Ch03Orgahil,11
ID_35,Pirate9,18,8,0,5,FS_Ch03Orgahil,0
ID_36,Pirate9,19,3,0,5,FS_Ch03Orgahil,0
ID_37,Pirate9,13,7,0,5,FS_Ch03Orgahil,0
ID_38,Pirate9,16,4,0,5,FS_Ch03Orgahil,0
ID_39,Pirate9,14,11,0,5,FS_Ch03Orgahil,0
ID_40,Pirate9,12,13,0,5,FS_Ch03Orgahil,0
ID_41,Pirate9,12,16,0,5,FS_Ch03Orgahil,0
ID_42,Pirate9,10,8,0,5,FS_Ch03Orgahil,0
ID_43,Pirate10,23,2,0,6,FS_Ch03Orgahil,0
ID_44,$FFFF,0,0,0,0,0,0
