.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,EldiganCh03,13,45,1,2,FS_Ch03Sylvale,0
ID_02,CrossKnightCh03Cavalier,13,44,0,2,FS_Ch03Sylvale,1
ID_03,CrossKnightCh03Cavalier,13,46,0,2,FS_Ch03Sylvale,2
ID_04,CrossKnightCh03Cavalier,14,45,0,2,FS_Ch03Sylvale,3
ID_05,CrossKnightCh03Cavalier,14,44,0,2,FS_Ch03Sylvale,4
ID_06,CrossKnightCh03Cavalier,14,46,0,2,FS_Ch03Sylvale,5
ID_07,CrossKnightCh03Cavalier,15,45,0,2,FS_Ch03Sylvale,6
ID_08,CrossKnightCh03Cavalier,15,44,0,2,FS_Ch03Sylvale,7
ID_09,CrossKnightCh03Cavalier,15,46,0,2,FS_Ch03Sylvale,8
ID_10,CrossKnightCh03Cavalier,16,45,0,2,FS_Ch03Sylvale,9
ID_11,CrossKnightCh03Cavalier,16,44,0,2,FS_Ch03Sylvale,10
ID_12,CrossKnightCh03Cavalier,16,46,0,2,FS_Ch03Sylvale,11
ID_13,CrossKnightCh03Cavalier,17,45,0,2,FS_Ch03Sylvale,12
ID_14,CrossKnightCh03Cavalier,17,44,0,2,FS_Ch03Sylvale,13
ID_15,CrossKnightCh03Cavalier,17,46,0,2,FS_Ch03Sylvale,14
ID_16,ChagallCh03,7,43,1,3,FS_Ch03Sylvale,0
ID_17,SylvaleLanceArmor,7,46,0,3,FS_Ch03Sylvale,1
ID_18,SylvaleBowArmor,6,45,0,3,FS_Ch03Sylvale,2
ID_19,SylvaleBowArmor,8,45,0,3,FS_Ch03Sylvale,3
ID_20,SylvaleLanceArmor,7,47,0,3,FS_Ch03Sylvale,4
ID_21,SylvaleBowArmor,6,46,0,3,FS_Ch03Sylvale,5
ID_22,SylvaleBowArmor,8,46,0,3,FS_Ch03Sylvale,6
ID_23,SylvaleLanceArmor,5,45,0,3,FS_Ch03Sylvale,7
ID_24,SylvaleLanceArmor,9,45,0,3,FS_Ch03Sylvale,8
ID_25,SylvaleLanceArmor,5,46,0,3,FS_Ch03Sylvale,9
ID_26,SylvaleLanceArmor,9,46,0,3,FS_Ch03Sylvale,10
ID_27,$FFFF,0,0,0,0,0,0
