.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Daccar,59,43,1,1,FS_Ch04Zaxon,0
ID_02,ZaxonArmy5,59,46,0,1,FS_Ch04Zaxon,1
ID_03,ZaxonArmy5,58,45,0,1,FS_Ch04Zaxon,2
ID_04,ZaxonArmy5,60,45,0,1,FS_Ch04Zaxon,3
ID_05,Pamela,56,45,1,2,FS_Ch04Zaxon,0
ID_06,PamelaSquad,57,46,0,2,FS_Ch04Zaxon,1
ID_07,PamelaSquad,57,44,0,2,FS_Ch04Zaxon,2
ID_08,PamelaSquad,56,47,0,2,FS_Ch04Zaxon,3
ID_09,PamelaSquad,56,43,0,2,FS_Ch04Zaxon,4
ID_10,PamelaSquad,54,45,0,2,FS_Ch04Zaxon,5
ID_11,PamelaSquad,54,47,0,2,FS_Ch04Zaxon,6
ID_12,PamelaSquad,54,43,0,2,FS_Ch04Zaxon,7
ID_13,PamelaSquad,55,46,0,2,FS_Ch04Zaxon,8
ID_14,PamelaSquad,55,44,0,2,FS_Ch04Zaxon,9
ID_15,PamelaSquad,56,49,0,2,FS_Ch04Zaxon,10
ID_16,PamelaSquad,56,41,0,2,FS_Ch04Zaxon,11
ID_17,$FFFF,0,0,0,0,0,0
