.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,SilesseFighter,$1D,$3D,0,5,FS_Ch04Zaxon,0
ID_02,SilesseFighter,$1D,$3E,0,5,FS_Ch04Zaxon,0
ID_03,SilesseFighter,$1C,$3E,0,5,FS_Ch04Zaxon,0
ID_04,SilesseFighter,$1B,$3D,0,5,FS_Ch04Zaxon,0
ID_05,SilesseFighter,$1A,$3E,0,5,FS_Ch04Zaxon,0
ID_06,SilesseFighter,$1A,$3D,0,5,FS_Ch04Zaxon,0
ID_07,SilesseWindMageRiver,$10,$32,0,7,FS_Ch04Zaxon,0
ID_08,SilesseWindMageRiver,$1A,$2B,0,7,FS_Ch04Zaxon,0
ID_09,SilesseCivilianMale,$17,$39,0,1,FS_Ch04Civilians,0
ID_10,SilesseCivilianMale,$18,$39,0,1,FS_Ch04Civilians,1
ID_11,SilesseCivilianMale,$18,$37,0,1,FS_Ch04Civilians,2
ID_12,SilesseCivilianFemale,$17,$38,0,1,FS_Ch04Civilians,3
ID_13,SilesseCivilianFemale,$16,$38,0,1,FS_Ch04Civilians,4
ID_14,SilesseCivilianFemale,$16,$36,0,1,FS_Ch04Civilians,5
ID_15,Lamia,$38,$30,1,8,FS_Ch04Zaxon,0
ID_16,LamiaSquadMyrmidonSleepSword,$39,$31,0,8,FS_Ch04Zaxon,1
ID_17,LamiaSquadMyrmidonSleepSword,$39,$2F,0,8,FS_Ch04Zaxon,2
ID_18,LamiaSquadMyrmidonBraveSword,$38,$32,0,8,FS_Ch04Zaxon,3
ID_19,LamiaSquadMyrmidonBraveSword,$38,$2E,0,8,FS_Ch04Zaxon,4
ID_20,LamiaSquadPriest,$36,$30,0,8,FS_Ch04Zaxon,5
ID_21,LamiaSquadArcher,$36,$32,0,8,FS_Ch04Zaxon,6
ID_22,LamiaSquadArcher,$36,$2E,0,8,FS_Ch04Zaxon,7
ID_23,LamiaSquadThunderMage,$37,$31,0,8,FS_Ch04Zaxon,8
ID_24,LamiaSquadThunderMage,$37,$2F,0,8,FS_Ch04Zaxon,9
ID_25,$FFFF,0,0,0,0,0,0
