.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,RotenritterCh05CommanderGeneral,$10,$2B,0,4,FS_Ch05Belhalla,0
ID_02,RotenritterCh05General,$0F,$2B,0,4,FS_Ch05Belhalla,0
ID_03,RotenritterCh05General,$0E,$2B,0,4,FS_Ch05Belhalla,0
ID_04,RotenritterCh05General,$0D,$2B,0,4,FS_Ch05Belhalla,0
ID_05,RotenritterCh05General,$0C,$2B,0,4,FS_Ch05Belhalla,0
ID_06,RotenritterCh05General,$0B,$2B,0,4,FS_Ch05Belhalla,0
ID_07,RotenritterCh05General,$0A,$2B,0,4,FS_Ch05Belhalla,0
ID_08,RotenritterCh05General,$09,$2B,0,4,FS_Ch05Belhalla,0
ID_09,RotenritterCh05General,$08,$2B,0,4,FS_Ch05Belhalla,0
ID_10,RotenritterCh05General,$07,$2B,0,4,FS_Ch05Belhalla,0
ID_11,RotenritterCh05General,$10,$2D,0,4,FS_Ch05Belhalla,0
ID_12,RotenritterCh05General,$0F,$2D,0,4,FS_Ch05Belhalla,0
ID_13,RotenritterCh05General,$0E,$2D,0,4,FS_Ch05Belhalla,0
ID_14,RotenritterCh05General,$0D,$2D,0,4,FS_Ch05Belhalla,0
ID_15,RotenritterCh05General,$0C,$2D,0,4,FS_Ch05Belhalla,0
ID_16,RotenritterCh05General,$0B,$2D,0,4,FS_Ch05Belhalla,0
ID_17,RotenritterCh05General,$0A,$2D,0,4,FS_Ch05Belhalla,0
ID_18,RotenritterCh05General,$09,$2D,0,4,FS_Ch05Belhalla,0
ID_19,RotenritterCh05General,$08,$2D,0,3,FS_Ch05Belhalla,0
ID_20,RotenritterCh05CommanderFireMage,$08,$2E,0,3,FS_Ch05Belhalla,0
ID_21,RotenritterCh05CommanderFireMage,$08,$2F,0,3,FS_Ch05Belhalla,0
ID_22,RotenritterCh05CommanderFireMage,$08,$30,0,3,FS_Ch05Belhalla,0
ID_23,RotenritterCh05CommanderFireMage,$08,$31,0,3,FS_Ch05Belhalla,0
ID_24,RotenritterCh05FireMage,$08,$32,0,3,FS_Ch05Belhalla,0
ID_25,ArvisChPrologue,$06,$36,0,1,FS_Ch05Belhalla,0
ID_26,RotenritterCh05FireMage,$04,$2E,0,3,FS_Ch05Belhalla,0
ID_27,RotenritterCh05FireMage,$04,$2F,0,3,FS_Ch05Belhalla,0
ID_28,RotenritterCh05FireMage,$04,$30,0,3,FS_Ch05Belhalla,0
ID_29,RotenritterCh05FireMage,$04,$31,0,3,FS_Ch05Belhalla,0
ID_30,RotenritterCh05FireMage,$04,$32,0,3,FS_Ch05Belhalla,0
ID_31,RotenritterCh05CommanderMageKnight,$07,$33,0,2,FS_Ch05Belhalla,0
ID_32,RotenritterCh05MageKnight,$07,$34,0,2,FS_Ch05Belhalla,0
ID_33,RotenritterCh05MageKnight,$07,$35,0,2,FS_Ch05Belhalla,0
ID_34,RotenritterCh05MageKnight,$05,$33,0,2,FS_Ch05Belhalla,0
ID_35,RotenritterCh05MageKnight,$05,$34,0,2,FS_Ch05Belhalla,0
ID_36,RotenritterCh05MageKnight,$05,$35,0,2,FS_Ch05Belhalla,0
ID_37,$FFFF,0,0,0,0,0,0
