.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,VelthomerCh05FireMageCliff,24,55,0,2,FS_Ch05Velthomer,0
ID_02,VelthomerCh05FireMageCliff,22,51,0,2,FS_Ch05Velthomer,0
ID_03,VelthomerCh05FireMageCliff,22,47,0,2,FS_Ch05Velthomer,0
ID_04,VelthomerCh05FireMageCliff,17,46,0,2,FS_Ch05Velthomer,0
ID_05,VelthomerCh05FireMageCliff,16,42,0,2,FS_Ch05Velthomer,0
ID_06,VelthomerCh05FireMageCliff,21,34,0,2,FS_Ch05Velthomer,0
ID_07,ReptorCh05,25,43,1,1,FS_Ch05Friege,0
ID_08,FriegeCh05General,25,41,0,1,FS_Ch05Friege,1
ID_09,FriegeCh05General,26,42,0,1,FS_Ch05Friege,2
ID_10,FriegeCh05General,24,42,0,1,FS_Ch05Friege,3
ID_11,FriegeCh05HighPriest,25,44,0,1,FS_Ch05Friege,4
ID_12,FriegeCh05ThunderMageFemale,26,43,0,1,FS_Ch05Friege,5
ID_13,FriegeCh05ThunderMageFemale,24,43,0,1,FS_Ch05Friege,6
ID_14,FriegeCh05ThunderMageMale,27,43,0,1,FS_Ch05Friege,7
ID_15,FriegeCh05ThunderMageMale,23,43,0,1,FS_Ch05Friege,8
ID_16,FriegeCh05BowArmor,27,44,0,1,FS_Ch05Friege,9
ID_17,FriegeCh05BowArmor,23,44,0,1,FS_Ch05Friege,10
ID_18,FriegeCh05Sniper,26,44,0,1,FS_Ch05Friege,11
ID_19,FriegeCh05Sniper,24,44,0,1,FS_Ch05Friege,12
ID_20,FriegeCh05LanceArmor,25,45,0,1,FS_Ch05Friege,13
ID_21,FriegeCh05LanceArmor,26,45,0,1,FS_Ch05Friege,14
ID_22,FriegeCh05LanceArmor,24,45,0,1,FS_Ch05Friege,15
ID_23,FriegeCh05Hero,27,45,0,1,FS_Ch05Friege,16
ID_24,FriegeCh05Hero,23,45,0,1,FS_Ch05Friege,17
ID_25,$FFFF,0,0,0,0,0,0
