.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Ishtore,17,57,1,2,FS_Ch07Melgen,0
ID_02,MelgenGuardThunderMage,17,60,0,2,FS_Ch07Melgen,1
ID_03,MelgenGuardThunderMage,16,59,0,2,FS_Ch07Melgen,2
ID_04,MelgenGuardThunderMage,18,59,0,2,FS_Ch07Melgen,3
ID_05,Liza,17,55,1,1,FS_Ch07Melgen,0
ID_06,MelgenThunderMageElthunder,17,54,0,1,FS_Ch07Melgen,1
ID_07,MelgenBallistician,16,55,0,1,FS_Ch07Melgen,2
ID_08,MelgenBallistician,18,55,0,1,FS_Ch07Melgen,3
ID_09,MelgenLanceArmor,15,54,0,1,FS_Ch07Melgen,4
ID_10,MelgenLanceArmor,19,54,0,1,FS_Ch07Melgen,5
ID_11,MelgenLanceArmor,13,53,0,1,FS_Ch07Melgen,6
ID_12,MelgenLanceArmor,21,53,0,1,FS_Ch07Melgen,7
ID_13,MelgenLanceArmor,13,52,0,1,FS_Ch07Melgen,8
ID_14,MelgenLanceArmor,21,52,0,1,FS_Ch07Melgen,9
ID_15,MelgenBowArmor,14,54,0,1,FS_Ch07Melgen,10
ID_16,MelgenBowArmor,20,54,0,1,FS_Ch07Melgen,11
ID_17,MelgenThunderMageThunder,12,53,0,1,FS_Ch07Melgen,12
ID_18,MelgenThunderMageThunder,22,53,0,1,FS_Ch07Melgen,13
ID_19,MelgenThunderMageThunder,12,52,0,1,FS_Ch07Melgen,14
ID_20,MelgenThunderMageThunder,22,52,0,1,FS_Ch07Melgen,15
ID_21,MelgenPriest,16,54,0,1,FS_Ch07Melgen,16
ID_22,MelgenPriest,18,54,0,1,FS_Ch07Melgen,17
ID_23,DahnaBlockadeMyrmidon,11,27,0,1,FS_Ch07Dahna,0
ID_24,DahnaBlockadeMyrmidon,11,28,0,1,FS_Ch07Dahna,0
ID_25,DahnaBlockadeMyrmidon,11,29,0,1,FS_Ch07Dahna,0
ID_26,DahnaBlockadeMyrmidon,11,30,0,1,FS_Ch07Dahna,0
ID_27,$FFFF,0,0,0,0,0,0
