.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Kutuzov,20,3,1,3,FS_Ch07Aed,0
ID_02,AedDarkMageLv7,20,6,0,3,FS_Ch07Aed,1
ID_03,AedDarkMageLv7,19,5,0,3,FS_Ch07Aed,2
ID_04,AedDarkMageLv7,21,5,0,3,FS_Ch07Aed,3
ID_05,UlsterCommanderGeneralLeonsterCharge,51,53,1,1,FS_Ch07Ulster,0
ID_06,UlsterThunderMageLeonsterCharge,52,53,0,1,FS_Ch07Ulster,1
ID_07,UlsterSwordArmorLeonsterCharge,51,52,0,1,FS_Ch07Ulster,2
ID_08,UlsterSwordArmorLeonsterCharge,52,52,0,1,FS_Ch07Ulster,3
ID_09,UlsterSwordArmorLeonsterCharge,51,51,0,1,FS_Ch07Ulster,4
ID_10,UlsterSwordArmorLeonsterCharge,52,51,0,1,FS_Ch07Ulster,5
ID_11,UlsterSwordArmorLeonsterCharge,51,50,0,1,FS_Ch07Ulster,6
ID_12,UlsterSwordArmorLeonsterCharge,52,50,0,1,FS_Ch07Ulster,7
ID_13,BloomCh07,51,55,1,7,FS_Ch07Ulster,0
ID_14,UlsterGuardGeneral,51,58,0,7,FS_Ch07Ulster,1
ID_15,UlsterGuardGeneral,50,57,0,7,FS_Ch07Ulster,2
ID_16,UlsterGuardGeneral,52,57,0,7,FS_Ch07Ulster,3
ID_17,DahnaBlockadeMyrmidon,17,31,0,1,FS_Ch07Dahna,0
ID_18,DahnaBlockadeMyrmidon,18,31,0,1,FS_Ch07Dahna,0
ID_19,DahnaBlockadeMyrmidon,19,31,0,1,FS_Ch07Dahna,0
ID_20,DahnaBlockadeMyrmidon,20,31,0,1,FS_Ch07Dahna,0
ID_21,AedDarkMageLv4,32,14,0,2,FS_Ch07Aed,0
ID_22,AedDarkMageLv4,34,19,0,2,FS_Ch07Aed,0
ID_23,AedDarkMageLv4,36,12,0,2,FS_Ch07Aed,0
ID_24,AedDarkMageLv4,37,17,0,2,FS_Ch07Aed,0
ID_25,AedDarkMageLv4,38,3,0,2,FS_Ch07Aed,0
ID_26,AedDarkMageLv4,41,9,0,2,FS_Ch07Aed,0
ID_27,AedDarkMageLv4,42,12,0,2,FS_Ch07Aed,0
ID_28,AedDarkMageLv4,46,8,0,2,FS_Ch07Aed,0
ID_29,DahnaBlockadeMyrmidon,26,54,0,4,FS_Ch07Dahna,0
ID_30,DahnaBlockadeMyrmidon,28,59,0,4,FS_Ch07Dahna,0
ID_31,AedDarkMageLv1,18,4,0,4,FS_Ch07Aed,0
ID_32,AedDarkMageLv1,18,3,0,4,FS_Ch07Aed,0
ID_33,AedDarkMageLv1,18,2,0,4,FS_Ch07Aed,0
ID_34,AedMyrmidon,17,3,0,4,FS_Ch07Aed,0
ID_35,AedMyrmidon,17,2,0,4,FS_Ch07Aed,0
ID_36,AedMyrmidon,18,1,0,4,FS_Ch07Aed,0
ID_37,AedDarkMageLv1,22,8,0,4,FS_Ch07Aed,0
ID_38,AedMyrmidon,22,9,0,4,FS_Ch07Aed,0
ID_39,$FFFF,0,0,0,0,0,0
