.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Hawk,$2C,$1C,0,1,FS_Ch08Munster,0
ID_02,MeathCivilianMale,$28,$1E,1,2,FS_Ch08Munster,0
ID_03,MeathCivilianMale,$2A,$1E,0,2,FS_Ch08Munster,1
ID_04,MeathCivilianMale,$2B,$21,0,2,FS_Ch08Munster,2
ID_05,MeathCivilianFemale,$2C,$1F,0,2,FS_Ch08Munster,3
ID_06,MeathCivilianFemale,$2C,$20,0,2,FS_Ch08Munster,4
ID_07,MeathCivilianFemale,$2B,$1F,0,2,FS_Ch08Munster,5
ID_08,MeathCommanderDragonknightLeonsterCharge,$21,$3B,1,1,FS_Ch08Meath,0
ID_09,MeathDragonriderLeonsterCharge,$21,$3A,0,1,FS_Ch08Meath,1
ID_10,MeathDragonriderLeonsterCharge,$20,$3A,0,1,FS_Ch08Meath,2
ID_11,MeathDragonriderLeonsterCharge,$22,$3A,0,1,FS_Ch08Meath,3
ID_12,MeathDragonriderLeonsterCharge,$21,$39,0,1,FS_Ch08Meath,4
ID_13,MeathDragonriderLeonsterCharge,$1F,$3A,0,1,FS_Ch08Meath,5
ID_14,MeathDragonriderLeonsterCharge,$23,$3A,0,1,FS_Ch08Meath,6
ID_15,MeathDragonriderLeonsterCharge,$20,$39,0,1,FS_Ch08Meath,7
ID_16,MeathDragonriderLeonsterCharge,$22,$39,0,1,FS_Ch08Meath,8
ID_17,MeathDragonriderLeonsterCharge,$21,$38,0,1,FS_Ch08Meath,9
ID_18,MeathCommanderDragonknightDefend,$25,$37,1,2,FS_Ch08Meath,0
ID_19,MeathDragonriderDefend,$25,$36,0,2,FS_Ch08Meath,1
ID_20,MeathDragonriderDefend,$24,$36,0,2,FS_Ch08Meath,2
ID_21,MeathDragonriderDefend,$26,$36,0,2,FS_Ch08Meath,3
ID_22,MeathDragonriderDefend,$25,$35,0,2,FS_Ch08Meath,4
ID_23,MeathDragonriderDefend,$23,$36,0,2,FS_Ch08Meath,5
ID_24,MeathDragonriderDefend,$27,$36,0,2,FS_Ch08Meath,6
ID_25,MeathDragonriderDefend,$24,$35,0,2,FS_Ch08Meath,7
ID_26,MeathDragonriderDefend,$26,$35,0,2,FS_Ch08Meath,8
ID_27,MeathDragonriderDefend,$25,$34,0,2,FS_Ch08Meath,9
ID_28,Altena,$29,$3B,1,3,FS_Ch08Meath,0
ID_29,Coulter,$29,$3A,0,3,FS_Ch08Meath,1
ID_30,CoulterSquad,$28,$3A,0,3,FS_Ch08Meath,2
ID_31,CoulterSquad,$2A,$3A,0,3,FS_Ch08Meath,3
ID_32,CoulterSquad,$29,$39,0,3,FS_Ch08Meath,4
ID_33,CoulterSquad,$27,$3A,0,3,FS_Ch08Meath,5
ID_34,CoulterSquad,$2B,$3A,0,3,FS_Ch08Meath,6
ID_35,CoulterSquad,$28,$39,0,3,FS_Ch08Meath,7
ID_36,CoulterSquad,$2A,$39,0,3,FS_Ch08Meath,8
ID_37,CoulterSquad,$29,$38,0,3,FS_Ch08Meath,9
ID_38,Maykov,$25,$39,1,5,FS_Ch08Meath,0
ID_39,MeathCommanderIronBallistician,$23,$32,1,4,FS_Ch08Meath,0
ID_40,MeathBallistician,$23,$31,0,4,FS_Ch08Meath,1
ID_41,MeathBallistician,$22,$32,0,4,FS_Ch08Meath,2
ID_42,MeathBallistician,$24,$32,0,4,FS_Ch08Meath,3
ID_43,MeathBallistician,$22,$31,0,4,FS_Ch08Meath,4
ID_44,MeathBallistician,$24,$31,0,4,FS_Ch08Meath,5
ID_45,$FFFF,0,0,0,0,0,0
