.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Judah,$12,$36,1,3,FS_Ch09Grutia,0
ID_02,GrutiaCommanderKillerBallistician,$15,$37,1,3,FS_Ch09Grutia,0
ID_03,GrutiaIronBallistician,$14,$37,0,3,FS_Ch09Grutia,2
ID_04,GrutiaIronBallistician,$14,$38,0,3,FS_Ch09Grutia,3
ID_05,GrutiaIronBallistician,$14,$36,0,3,FS_Ch09Grutia,4
ID_06,GrutiaIronBallistician,$14,$39,0,3,FS_Ch09Grutia,5
ID_07,GrutiaIronBallistician,$14,$35,0,3,FS_Ch09Grutia,6
ID_08,GrutiaIronBallistician,$14,$3A,0,3,FS_Ch09Grutia,7
ID_09,GrutiaIronBallistician,$14,$34,0,3,FS_Ch09Grutia,8
ID_10,Musar,$04,$01,1,2,FS_Ch09Grutia,0
ID_11,MusarSquadPaladinF,$05,$01,0,2,FS_Ch09Grutia,1
ID_12,MusarSquadPaladinF,$03,$01,0,2,FS_Ch09Grutia,2
ID_13,MusarSquadRanger,$04,$02,0,2,FS_Ch09Grutia,3
ID_14,MusarSquadRanger,$05,$02,0,2,FS_Ch09Grutia,4
ID_15,MusarSquadRanger,$03,$02,0,2,FS_Ch09Grutia,5
ID_16,MusarSquadDukeKnight,$04,$03,0,2,FS_Ch09Grutia,6
ID_17,MusarSquadDukeKnight,$05,$03,0,2,FS_Ch09Grutia,7
ID_18,MusarSquadDukeKnight,$03,$03,0,2,FS_Ch09Grutia,8
ID_19,MusarSquadGreatKnight,$04,$04,0,2,FS_Ch09Grutia,9
ID_20,MusarSquadGreatKnight,$05,$04,0,2,FS_Ch09Grutia,10
ID_21,MusarSquadGreatKnight,$03,$04,0,2,FS_Ch09Grutia,11
ID_22,$FFFF,0,0,0,0,0,0
