.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,ArionCh09,$35,$2F,1,6,FS_Ch09Thracia,0
ID_02,ThraciaCh09DragonknightSlimLance,$34,$2F,0,6,FS_Ch09Thracia,1
ID_03,ThraciaCh09DragonknightSlimLance,$34,$30,0,6,FS_Ch09Thracia,2
ID_04,ThraciaCh09DragonknightSlimLance,$34,$2E,0,6,FS_Ch09Thracia,3
ID_05,ThraciaCh09DragonknightSlimLance,$33,$2F,0,6,FS_Ch09Thracia,4
ID_06,ThraciaCh09DragonknightSlimLance,$34,$31,0,6,FS_Ch09Thracia,5
ID_07,ThraciaCh09DragonknightSlimLance,$34,$2D,0,6,FS_Ch09Thracia,6
ID_08,ThraciaCh09DragonknightSlimLance,$33,$30,0,6,FS_Ch09Thracia,7
ID_09,ThraciaCh09DragonknightSlimLance,$33,$2E,0,6,FS_Ch09Thracia,8
ID_10,ThraciaCh09DragonknightSlimLance,$32,$2F,0,6,FS_Ch09Thracia,9
ID_11,ThraciaCh09DragonknightSlimLance,$34,$32,0,6,FS_Ch09Thracia,10
ID_12,ThraciaCh09DragonknightSleepSword,$34,$2C,0,6,FS_Ch09Thracia,11
ID_13,ThraciaCh09DragonknightSleepSword,$33,$31,0,6,FS_Ch09Thracia,12
ID_14,ThraciaCh09DragonknightSleepSword,$33,$2D,0,6,FS_Ch09Thracia,13
ID_15,ThraciaCh09DragonknightSleepSword,$32,$30,0,6,FS_Ch09Thracia,14
ID_16,ThraciaCh09DragonknightSleepSword,$32,$2E,0,6,FS_Ch09Thracia,15
ID_17,ThraciaCh09DragonknightSleepSword,$31,$2F,0,6,FS_Ch09Thracia,16
ID_18,ThraciaCh09CommanderDragonriderMeathCharge,$38,$2B,1,5,FS_Ch09Thracia,0
ID_19,ThraciaCh09DragonriderMeathCharge,$38,$2A,0,5,FS_Ch09Thracia,1
ID_20,ThraciaCh09DragonriderMeathCharge,$37,$2A,0,5,FS_Ch09Thracia,2
ID_21,ThraciaCh09DragonriderMeathCharge,$39,$2A,0,5,FS_Ch09Thracia,3
ID_22,ThraciaCh09DragonriderMeathCharge,$38,$29,0,5,FS_Ch09Thracia,4
ID_23,ThraciaCh09DragonriderMeathCharge,$36,$2A,0,5,FS_Ch09Thracia,5
ID_24,ThraciaCh09DragonriderMeathCharge,$3A,$2A,0,5,FS_Ch09Thracia,6
ID_25,ThraciaCh09DragonriderMeathCharge,$37,$29,0,5,FS_Ch09Thracia,7
ID_26,ThraciaCh09DragonriderMeathCharge,$39,$29,0,5,FS_Ch09Thracia,8
ID_27,ThraciaCh09DragonriderMeathCharge,$38,$28,0,5,FS_Ch09Thracia,9
ID_28,ThraciaCh09CommanderDragonriderKapathogiaCharge,$34,$27,1,4,FS_Ch09Thracia,0
ID_29,ThraciaCh09DragonriderKapathogiaCharge,$34,$26,0,4,FS_Ch09Thracia,1
ID_30,ThraciaCh09DragonriderKapathogiaCharge,$33,$26,0,4,FS_Ch09Thracia,2
ID_31,ThraciaCh09DragonriderKapathogiaCharge,$35,$26,0,4,FS_Ch09Thracia,3
ID_32,ThraciaCh09DragonriderKapathogiaCharge,$34,$25,0,4,FS_Ch09Thracia,4
ID_33,ThraciaCh09DragonriderKapathogiaCharge,$32,$26,0,4,FS_Ch09Thracia,5
ID_34,ThraciaCh09DragonriderKapathogiaCharge,$36,$26,0,4,FS_Ch09Thracia,6
ID_35,ThraciaCh09DragonriderKapathogiaCharge,$33,$25,0,4,FS_Ch09Thracia,7
ID_36,ThraciaCh09DragonriderKapathogiaCharge,$35,$25,0,4,FS_Ch09Thracia,8
ID_37,ThraciaCh09DragonriderKapathogiaCharge,$34,$24,0,4,FS_Ch09Thracia,9
ID_38,ThraciaCh09CommanderDragonriderLutheciaCharge,$30,$2B,1,3,FS_Ch09Thracia,0
ID_39,ThraciaCh09DragonriderLutheciaCharge,$30,$2A,0,3,FS_Ch09Thracia,1
ID_40,ThraciaCh09DragonriderLutheciaCharge,$2F,$2A,0,3,FS_Ch09Thracia,2
ID_41,ThraciaCh09DragonriderLutheciaCharge,$31,$2A,0,3,FS_Ch09Thracia,3
ID_42,ThraciaCh09DragonriderLutheciaCharge,$30,$29,0,3,FS_Ch09Thracia,4
ID_43,ThraciaCh09DragonriderLutheciaCharge,$2E,$2A,0,3,FS_Ch09Thracia,5
ID_44,ThraciaCh09DragonriderLutheciaCharge,$32,$2A,0,3,FS_Ch09Thracia,6
ID_45,ThraciaCh09DragonriderLutheciaCharge,$2F,$29,0,3,FS_Ch09Thracia,7
ID_46,ThraciaCh09DragonriderLutheciaCharge,$31,$29,0,3,FS_Ch09Thracia,8
ID_47,ThraciaCh09DragonriderLutheciaCharge,$30,$28,0,3,FS_Ch09Thracia,9
ID_48,$FFFF,0,0,0,0,0,0
