.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,ArvisCh10,15,4,1,5,FS_Ch10Chalphy,0
ID_02,RotenritterCh10HighPriest,15,7,0,5,FS_Ch10Chalphy,1
ID_03,RotenritterCh10GuardFireMage1,14,6,0,5,FS_Ch10Chalphy,2
ID_04,RotenritterCh10GuardFireMage1,16,6,0,5,FS_Ch10Chalphy,3
ID_05,RotenritterCh10GuardFireMage2,15,8,0,5,FS_Ch10Chalphy,4
ID_06,RotenritterCh10GuardFireMage2,14,7,0,5,FS_Ch10Chalphy,5
ID_07,RotenritterCh10GuardFireMage2,16,7,0,5,FS_Ch10Chalphy,6
ID_08,DarkMageCh10Chalphy,17,5,0,4,FS_Ch10Chalphy,0
ID_09,DarkMageCh10Chalphy,17,6,0,4,FS_Ch10Chalphy,1
ID_10,DarkMageCh10Chalphy,18,5,0,4,FS_Ch10Chalphy,2
ID_11,DarkMageCh10Chalphy,18,6,1,4,FS_Ch10Chalphy,3
ID_12,DarkMageCh10Chalphy,18,7,0,4,FS_Ch10Chalphy,1
ID_13,RotenritterCh10CommanderBaron,7,14,1,1,FS_Ch10Chalphy,0
ID_14,RotenritterCh10LanceArmor,7,15,0,1,FS_Ch10Chalphy,1
ID_15,RotenritterCh10LanceArmor,8,15,0,1,FS_Ch10Chalphy,2
ID_16,RotenritterCh10LanceArmor,6,15,0,1,FS_Ch10Chalphy,3
ID_17,RotenritterCh10BowArmor,9,15,0,1,FS_Ch10Chalphy,4
ID_18,RotenritterCh10BowArmor,5,15,0,1,FS_Ch10Chalphy,5
ID_19,RotenritterCh10BowArmor,10,15,0,1,FS_Ch10Chalphy,6
ID_20,RotenritterCh10BowArmor,4,15,0,1,FS_Ch10Chalphy,7
ID_21,RotenritterCh10CommanderBishop,9,12,1,2,FS_Ch10Chalphy,0
ID_22,RotenritterCh10Priest,9,13,0,2,FS_Ch10Chalphy,1
ID_23,RotenritterCh10Priest,10,13,0,2,FS_Ch10Chalphy,2
ID_24,RotenritterCh10Priest,8,13,0,2,FS_Ch10Chalphy,3
ID_25,RotenritterCh10ChargeFireMage,11,13,0,2,FS_Ch10Chalphy,4
ID_26,RotenritterCh10ChargeFireMage,7,13,0,2,FS_Ch10Chalphy,5
ID_27,RotenritterCh10ChargeFireMage,12,13,0,2,FS_Ch10Chalphy,6
ID_28,RotenritterCh10ChargeFireMage,6,13,0,2,FS_Ch10Chalphy,7
ID_29,RotenritterCh10CommanderMageKnight,11,10,1,3,FS_Ch10Chalphy,0
ID_30,RotenritterCh10DukeKnight,11,11,0,3,FS_Ch10Chalphy,1
ID_31,RotenritterCh10DukeKnight,12,11,0,3,FS_Ch10Chalphy,2
ID_32,RotenritterCh10DukeKnight,10,11,0,3,FS_Ch10Chalphy,3
ID_33,RotenritterCh10GreatKnight,13,11,0,3,FS_Ch10Chalphy,4
ID_34,RotenritterCh10GreatKnight,9,11,0,3,FS_Ch10Chalphy,5
ID_35,RotenritterCh10ArchKnight,14,11,0,3,FS_Ch10Chalphy,6
ID_36,RotenritterCh10ArchKnight,8,11,0,3,FS_Ch10Chalphy,7
ID_37,ChalphyChildMale,36,5,0,2,FS_Ch10Civilians,0
ID_38,ChalphyChildMale,37,6,0,2,FS_Ch10Civilians,1
ID_39,ChalphyChildMale,37,7,0,2,FS_Ch10Civilians,2
ID_40,ChalphyChildFemale,37,5,0,2,FS_Ch10Civilians,3
ID_41,ChalphyChildFemale,36,6,0,2,FS_Ch10Civilians,4
ID_42,Palmarch,35,6,0,2,FS_Ch10Civilians,0
ID_43,$FFFF,0,0,0,0,0,0
