.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,JuliusChFinal,$2A,$16,1,3,FS_ChFinalBelhalla,0
ID_02,Canis,$2A,$19,0,3,FS_ChFinalBelhalla,1
ID_03,Lepus,$29,$18,0,3,FS_ChFinalBelhalla,2
ID_04,Porcus,$2B,$18,0,3,FS_ChFinalBelhalla,3
ID_05,Equus,$2A,$1A,0,3,FS_ChFinalBelhalla,4
ID_06,Draco,$29,$19,0,3,FS_ChFinalBelhalla,5
ID_07,Gallus,$2B,$19,0,3,FS_ChFinalBelhalla,6
ID_08,Anguilla,$29,$1B,0,3,FS_ChFinalBelhalla,7
ID_09,Ovis,$2B,$1B,0,3,FS_ChFinalBelhalla,8
ID_10,Tigris,$28,$19,0,3,FS_ChFinalBelhalla,9
ID_11,Simia,$2D,$19,0,3,FS_ChFinalBelhalla,10
ID_12,Bovis,$27,$1A,0,3,FS_ChFinalBelhalla,11
ID_13,Mus,$28,$18,0,3,FS_ChFinalBelhalla,12
ID_14,IshtarChFinal,$26,$14,1,1,FS_ChFinalBelhalla,0
ID_15,BelhallaHero,$26,$15,0,1,FS_ChFinalBelhalla,1
ID_16,BelhallaHighPriest,$25,$14,0,1,FS_ChFinalBelhalla,2
ID_17,BelhallaSniper,$25,$13,0,1,FS_ChFinalBelhalla,3
ID_18,BelhallaSage,$24,$14,0,1,FS_ChFinalBelhalla,4
ID_19,BelhallaHero,$24,$15,0,1,FS_ChFinalBelhalla,5
ID_20,BelhallaHighPriest,$23,$14,0,1,FS_ChFinalBelhalla,6
ID_21,BelhallaSniper,$23,$13,0,1,FS_ChFinalBelhalla,7
ID_22,BelhallaSage,$22,$14,0,1,FS_ChFinalBelhalla,8
ID_23,BelhallaHero,$22,$15,0,1,FS_ChFinalBelhalla,9
ID_24,BelhallaHighPriest,$21,$14,0,1,FS_ChFinalBelhalla,10
ID_25,BelhallaSniper,$21,$13,0,1,FS_ChFinalBelhalla,11
ID_26,BelhallaSage,$20,$14,0,1,FS_ChFinalBelhalla,12
ID_27,Meng,$27,$14,1,2,FS_ChFinalBelhalla,0
ID_28,Mabel,$27,$15,0,2,FS_ChFinalBelhalla,1
ID_29,Bleg,$27,$13,0,2,FS_ChFinalBelhalla,2
ID_30,$FFFF,0,0,0,0,0,0
