.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Fisher,$27,$22,1,2,FS_ChFinalDozel,0
ID_02,DozelAxeKnightHandAxe,$27,$23,0,2,FS_ChFinalDozel,1
ID_03,DozelAxeKnightHandAxe,$28,$22,0,2,FS_ChFinalDozel,2
ID_04,DozelAxeKnightHandAxe,$28,$23,0,2,FS_ChFinalDozel,3
ID_05,DozelAxeKnightSteelAxe,$29,$22,0,2,FS_ChFinalDozel,4
ID_06,DozelAxeKnightSteelAxe,$29,$23,0,2,FS_ChFinalDozel,5
ID_07,DozelAxeKnightSteelAxe,$2A,$22,0,2,FS_ChFinalDozel,6
ID_08,DozelAxeKnightSteelAxe,$2A,$23,0,2,FS_ChFinalDozel,7
ID_09,DozelAxeKnightSteelAxe,$2B,$22,0,2,FS_ChFinalDozel,8
ID_10,DozelAxeKnightSteelAxe,$2B,$23,0,2,FS_ChFinalDozel,9
ID_11,Brian,$1B,$24,1,3,FS_ChFinalDozel,0
ID_12,GrauenritterChFinalMendStaff,$1C,$24,0,3,FS_ChFinalDozel,1
ID_13,GrauenritterChFinalMendStaff,$1B,$25,0,3,FS_ChFinalDozel,2
ID_14,GrauenritterChFinalMendStaff,$1A,$25,0,3,FS_ChFinalDozel,3
ID_15,GrauenritterChFinalSilverAxe,$1B,$26,0,3,FS_ChFinalDozel,4
ID_16,GrauenritterChFinalSilverAxe,$1C,$26,0,3,FS_ChFinalDozel,5
ID_17,GrauenritterChFinalSilverAxe,$1B,$27,0,3,FS_ChFinalDozel,6
ID_18,GrauenritterChFinalSilverAxe,$1A,$27,0,3,FS_ChFinalDozel,7
ID_19,GrauenritterChFinalSilverAxe,$1B,$28,0,3,FS_ChFinalDozel,8
ID_20,GrauenritterChFinalSilverAxe,$1C,$28,0,3,FS_ChFinalDozel,9
ID_21,GrauenritterChFinalSilverAxe,$1B,$29,0,3,FS_ChFinalDozel,10
ID_22,GrauenritterChFinalSilverAxe,$1A,$29,0,3,FS_ChFinalDozel,11
ID_23,GrauenritterChFinalSilverAxe,$1B,$2A,0,3,FS_ChFinalDozel,12
ID_24,GrauenritterChFinalSilverAxe,$1C,$2A,0,3,FS_ChFinalDozel,13
ID_25,GrauenritterChFinalSilverAxe,$1B,$2B,0,3,FS_ChFinalDozel,14
ID_26,GrauenritterChFinalSilverAxe,$1A,$2B,0,3,FS_ChFinalDozel,15
ID_27,GrauenritterChFinalSilverAxe,$1B,$2C,0,3,FS_ChFinalDozel,16
ID_28,GrauenritterChFinalSilverAxe,$1C,$2C,0,3,FS_ChFinalDozel,17
ID_29,Dagon,$1F,$22,1,4,FS_ChFinalDozel,0
ID_30,$FFFF,0,0,0,0,0,0
