.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,HildaChFinal,10,24,1,1,FS_ChFinalFriege,0
ID_02,HildaSquadChFinalBaronFortify,10,25,0,1,FS_ChFinalFriege,1
ID_03,HildaSquadChFinalBaronFortify,11,24,0,1,FS_ChFinalFriege,2
ID_04,HildaSquadChFinalBaronFortify,9,24,0,1,FS_ChFinalFriege,3
ID_05,HildaSquadChFinalBaronThoron,10,26,0,1,FS_ChFinalFriege,4
ID_06,HildaSquadChFinalBaronThoron,11,25,0,1,FS_ChFinalFriege,5
ID_07,HildaSquadChFinalBaronThoron,9,25,0,1,FS_ChFinalFriege,6
ID_08,HildaSquadChFinalBaronThoron,12,25,0,1,FS_ChFinalFriege,7
ID_09,HildaSquadChFinalBaronThoron,8,25,0,1,FS_ChFinalFriege,8
ID_10,HildaSquadChFinalBaronThoron,12,26,0,1,FS_ChFinalFriege,9
ID_11,HildaSquadChFinalBaronThoron,8,26,0,1,FS_ChFinalFriege,10
ID_12,HildaSquadChFinalBaronThoron,11,26,0,1,FS_ChFinalFriege,11
ID_13,HildaSquadChFinalBaronThoron,9,26,0,1,FS_ChFinalFriege,12
ID_14,HildaSquadChFinalBaronThoron,10,27,0,1,FS_ChFinalFriege,13
ID_15,HildaSquadChFinalBaronThoron,11,27,0,1,FS_ChFinalFriege,14
ID_16,HildaSquadChFinalBaronThoron,9,27,0,1,FS_ChFinalFriege,15
ID_17,HildaSquadChFinalBaronThoron,12,27,0,1,FS_ChFinalFriege,16
ID_18,HildaSquadChFinalBaronThoron,8,27,0,1,FS_ChFinalFriege,17
ID_19,FriegeChFinalDarkBishop,14,17,0,4,FS_ChFinalBelhalla,0
ID_20,FriegeChFinalDarkMage,14,18,0,4,FS_ChFinalBelhalla,1
ID_21,FriegeChFinalDarkMage,15,18,0,4,FS_ChFinalBelhalla,2
ID_22,FriegeChFinalDarkMage,13,18,0,4,FS_ChFinalBelhalla,3
ID_23,FriegeChFinalDarkMage,16,18,0,4,FS_ChFinalBelhalla,4
ID_24,FriegeChFinalDarkMage,12,18,0,4,FS_ChFinalBelhalla,5
ID_25,Baran,8,20,1,2,FS_ChFinalFriege,0
ID_26,$FFFF,0,0,0,0,0,0
