.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Roberto,$32,$31,1,1,FS_ChFinalEdda,0
ID_02,EddaTroubadour,$33,$32,0,1,FS_ChFinalEdda,1
ID_03,EddaTroubadour,$33,$30,0,1,FS_ChFinalEdda,2
ID_04,EddaMageKnight,$32,$33,0,1,FS_ChFinalEdda,3
ID_05,EddaMageKnight,$32,$2F,0,1,FS_ChFinalEdda,4
ID_06,EddaRanger,$30,$31,0,1,FS_ChFinalEdda,5
ID_07,EddaRanger,$30,$33,0,1,FS_ChFinalEdda,6
ID_08,EddaRanger,$30,$2F,0,1,FS_ChFinalEdda,7
ID_09,EddaArchKnight,$31,$32,0,1,FS_ChFinalEdda,8
ID_10,EddaArchKnight,$31,$30,0,1,FS_ChFinalEdda,9
ID_11,EddaDukeKnight,$32,$35,0,1,FS_ChFinalEdda,10
ID_12,EddaDukeKnight,$32,$2D,0,1,FS_ChFinalEdda,11
ID_13,Boyce,$39,$2E,1,2,FS_ChFinalEdda,0
ID_14,EddaSniper,$38,$2E,0,2,FS_ChFinalEdda,1
ID_15,EddaSniper,$38,$2F,0,2,FS_ChFinalEdda,2
ID_16,EddaSniper,$38,$2D,0,2,FS_ChFinalEdda,3
ID_17,EddaHero,$38,$30,0,2,FS_ChFinalEdda,4
ID_18,EddaHero,$38,$2C,0,2,FS_ChFinalEdda,5
ID_19,EddaHero,$38,$31,0,2,FS_ChFinalEdda,6
ID_20,EddaHero,$38,$2B,0,2,FS_ChFinalEdda,7
ID_21,Rodan,$3B,$2E,1,3,FS_ChFinalEdda,0
ID_22,EddaHighPriestFortify,$3A,$2E,0,3,FS_ChFinalEdda,1
ID_23,EddaHighPriestFortify,$3B,$2F,0,3,FS_ChFinalEdda,2
ID_24,EddaHighPriestFortify,$3B,$2D,0,3,FS_ChFinalEdda,3
ID_25,EddaBishopMeteor,$3A,$30,0,3,FS_ChFinalEdda,4
ID_26,EddaBishopMeteor,$3A,$2C,0,3,FS_ChFinalEdda,5
ID_27,EddaBishopMeteor,$39,$32,0,3,FS_ChFinalEdda,6
ID_28,EddaBishopMeteor,$39,$2A,0,3,FS_ChFinalEdda,7
ID_29,EddaBishopBolting,$38,$32,0,3,FS_ChFinalEdda,8
ID_30,EddaBishopBolting,$38,$2A,0,3,FS_ChFinalEdda,9
ID_31,EddaBishopBolting,$3A,$31,0,3,FS_ChFinalEdda,10
ID_32,EddaBishopBolting,$3A,$2B,0,3,FS_ChFinalEdda,11
ID_33,EddaHighPriestSleepStaff,$39,$33,0,3,FS_ChFinalEdda,12
ID_34,EddaHighPriestSleepStaff,$39,$29,0,3,FS_ChFinalEdda,13
ID_35,EddaHighPriestSleepStaff,$38,$33,0,3,FS_ChFinalEdda,14
ID_36,EddaHighPriestSleepStaff,$38,$29,0,3,FS_ChFinalEdda,15
ID_37,EddaHighPriestSleepStaff,$3A,$2F,0,3,FS_ChFinalEdda,16
ID_38,EddaHighPriestSleepStaff,$3A,$2D,0,3,FS_ChFinalEdda,17
ID_39,Juphiel,$3C,$2B,1,4,FS_ChFinalEdda,0
ID_40,DarkMageChFinalFenrir,$1A,$35,0,1,FS_ChFinalDozel,0
ID_41,DarkMageChFinalSilenceStaff,$1B,$35,0,1,FS_ChFinalDozel,0
ID_42,DarkMageChFinalSilenceStaff,$1A,$36,0,1,FS_ChFinalDozel,0
ID_43,DarkMageChFinalFenrir,$1B,$36,0,1,FS_ChFinalDozel,0
ID_44,DarkMageChFinalFenrir,$26,$3D,0,1,FS_ChFinalDozel,0
ID_45,DarkMageChFinalSilenceStaff,$27,$3D,0,1,FS_ChFinalDozel,0
ID_46,DarkMageChFinalSilenceStaff,$2A,$3C,0,1,FS_ChFinalDozel,0
ID_47,DarkMageChFinalFenrir,$2B,$3B,0,1,FS_ChFinalDozel,0
ID_48,$FFFF,0,0,0,0,0,0
