.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Scipio,3,60,1,1,FS_ChFinalYngvi,0
ID_02,ScipioSquadTroubadour,3,59,0,1,FS_ChFinalYngvi,1
ID_03,ScipioSquadTroubadour,2,60,0,1,FS_ChFinalYngvi,2
ID_04,ScipioSquadTroubadour,4,60,0,1,FS_ChFinalYngvi,3
ID_05,ScipioSquadArchKnight,3,58,0,1,FS_ChFinalYngvi,4
ID_06,ScipioSquadArchKnight,2,59,0,1,FS_ChFinalYngvi,5
ID_07,ScipioSquadArchKnight,4,59,0,1,FS_ChFinalYngvi,6
ID_08,ScipioSquadArchKnight,1,59,0,1,FS_ChFinalYngvi,7
ID_09,ScipioSquadArchKnight,5,59,0,1,FS_ChFinalYngvi,8
ID_10,ScipioSquadArchKnight,1,58,0,1,FS_ChFinalYngvi,9
ID_11,ScipioSquadArchKnight,5,58,0,1,FS_ChFinalYngvi,10
ID_12,ScipioSquadArchKnight,2,58,0,1,FS_ChFinalYngvi,11
ID_13,ScipioSquadArchKnight,4,58,0,1,FS_ChFinalYngvi,12
ID_14,ScipioSquadArchKnight,3,57,0,1,FS_ChFinalYngvi,13
ID_15,ScipioSquadArchKnight,2,57,0,1,FS_ChFinalYngvi,14
ID_16,ScipioSquadArchKnight,4,57,0,1,FS_ChFinalYngvi,15
ID_17,ScipioSquadArchKnight,1,57,0,1,FS_ChFinalYngvi,16
ID_18,ScipioSquadArchKnight,5,57,0,1,FS_ChFinalYngvi,17
ID_19,$FFFF,0,0,0,0,0,0
