.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,VerdaneArmy3,7,15,0,7,FS_PrologueEvans,1
ID_02,VerdaneArmy3,4,16,0,7,FS_PrologueEvans,2
ID_03,VerdaneArmy3,3,14,0,7,FS_PrologueEvans,0
ID_04,VerdaneArmy1,5,16,0,7,FS_PrologueEvans,4
ID_05,VerdaneArmy2,4,15,0,7,FS_PrologueEvans,5
ID_06,VerdaneArmy2,7,14,0,7,FS_PrologueEvans,0
ID_07,VerdaneArmy2,6,15,0,7,FS_PrologueEvans,0
ID_08,VerdaneArmy2,9,14,0,1,FS_PrologueEvans,0
ID_09,VerdaneArmy2,9,13,0,1,FS_PrologueEvans,0
ID_10,VerdaneArmy2,8,13,0,1,FS_PrologueEvans,0
ID_11,VerdaneArmy2,8,12,0,1,FS_PrologueEvans,0
ID_12,VerdaneArmy2,7,12,0,1,FS_PrologueEvans,0
ID_13,VerdaneArmy3,6,17,0,1,FS_PrologueEvans,13
ID_14,VerdaneArmy3,6,11,0,1,FS_PrologueEvans,0
ID_15,VerdaneArmy1,11,15,0,7,FS_PrologueEvans,0
ID_16,$FFFF,0,0,0,0,0,0
