.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,EvansChargeBarbarian,47,11,0,1,FS_PrologueEvans,0
ID_02,EvansChargeBarbarian,51,14,0,1,FS_PrologueEvans,0
ID_03,EvansChargeBarbarian,47,20,0,1,FS_PrologueEvans,0
ID_04,EvansChargeHunter,42,22,0,1,FS_PrologueEvans,0
ID_05,EvansBarbarianHandAxe,41,11,0,2,FS_PrologueEvans,0
ID_06,EvansChargeBarbarian,42,19,0,2,FS_PrologueEvans,0
ID_07,EvansChargeBarbarian,45,23,0,2,FS_PrologueEvans,0
ID_08,EvansChargeBarbarian,36,10,0,3,FS_PrologueEvans,0
ID_09,EvansChargeBarbarian,36,4,0,3,FS_PrologueEvans,0
ID_10,EvansBarbarianHandAxe,32,8,0,3,FS_PrologueEvans,0
ID_11,EvansChargeBarbarian,25,13,0,4,FS_PrologueEvans,0
ID_12,EvansBarbarianHandAxe,31,28,0,4,FS_PrologueEvans,0
ID_13,EvansChargeBarbarian,22,17,0,4,FS_PrologueEvans,0
ID_14,EvansChargeHunter,28,27,0,4,FS_PrologueEvans,0
ID_15,EvansChargeBarbarian,37,17,0,5,FS_PrologueEvans,0
ID_16,EvansChargeBarbarian,37,19,0,5,FS_PrologueEvans,0
ID_17,EvansChargeBarbarian,36,26,0,5,FS_PrologueEvans,0
ID_18,EvansChargeBarbarian,38,26,0,2,FS_PrologueEvans,0
ID_19,EvansChargeHunter,36,25,0,5,FS_PrologueEvans,0
ID_20,EvansBarbarianHandAxe,36,18,0,5,FS_PrologueEvans,0
ID_21,DiMaggio,34,26,1,6,FS_PrologueEvans,0
ID_22,EvansGuardBarbarian,33,26,0,6,FS_PrologueEvans,1
ID_23,EvansGuardBarbarian,32,25,0,6,FS_PrologueEvans,2
ID_24,EvansGuardBarbarian,34,25,0,6,FS_PrologueEvans,3
ID_25,Munnir,33,25,0,1,FS_PrologueEvans,0
ID_26,Arden,60,10,0,1,FS_Player,0
ID_27,Midir,33,23,0,1,FS_PrologueYngvi,0
ID_28,EvansBrigand,43,26,0,8,FS_PrologueEvans,0
ID_29,EvansBrigand,12,12,0,8,FS_PrologueEvans,0
ID_30,EvansBrigand,13,8,0,8,FS_PrologueEvans,0
ID_31,EvansBrigand,35,4,0,8,FS_PrologueEvans,0
ID_32,EvansBrigand,49,7,0,8,FS_PrologueEvans,0
ID_33,Gerrard,5,13,$FF,7,FS_PrologueEvans,$FF
ID_34,EvansChargeBarbarian,24,21,$FE,4,FS_PrologueEvans,$FF
ID_35,$FFFF,0,0,0,0,0,0
