.word 0,Pointer
UNITGroupPrologueStart,<>aUNITGroupDataPrologueStart - aUNITGroupPointers
UNITGroupPrologueEvans,<>aUNITGroupDataPrologueEvans - aUNITGroupPointers
UNITGroupChapter01Start,<>aUNITGroupDataChapter01Start - aUNITGroupPointers
UNITGroupChapter01Marpha,<>aUNITGroupDataChapter01Marpha - aUNITGroupPointers
UNITGroupChapter01Heirhein,<>aUNITGroupDataChapter01Heirhein - aUNITGroupPointers
UNITGroupChapter01Nordion,<>aUNITGroupDataChapter01Nordion - aUNITGroupPointers
UNITGroupChapter01Verdane,<>aUNITGroupDataChapter01Verdane - aUNITGroupPointers
UNITGroupChapter01Brigands,<>aUNITGroupDataChapter01Brigands - aUNITGroupPointers
UNITGroupChapter02Start,<>aUNITGroupDataChapter02Start - aUNITGroupPointers
UNITGroupChapter02Yellows,<>aUNITGroupDataChapter02Yellows - aUNITGroupPointers
UNITGroupChapter02Infini,<>aUNITGroupDataChapter02Infini - aUNITGroupPointers
UNITGroupChapter02Mackily,<>aUNITGroupDataChapter02Mackily - aUNITGroupPointers
UNITGroupChapter02Agusti,<>aUNITGroupDataChapter02Agusti - aUNITGroupPointers
UNITGroupChapter03Start,<>aUNITGroupDataChapter03Start - aUNITGroupPointers
UNITGroupChapter03Sylvale,<>aUNITGroupDataChapter03Sylvale - aUNITGroupPointers
UNITGroupChapter03Thracia,<>aUNITGroupDataChapter03Thracia - aUNITGroupPointers
UNITGroupChapter03Orgahil,<>aUNITGroupDataChapter03Orgahil - aUNITGroupPointers
UNITGroupChapter03DozelFriege,<>aUNITGroupDataChapter03DozelFriege - aUNITGroupPointers
UNITGroupChapter04Start,<>aUNITGroupDataChapter04Start - aUNITGroupPointers
UNITGroupChapter04Donovan,<>aUNITGroupDataChapter04Donovan - aUNITGroupPointers
UNITGroupChapter04Pamela,<>aUNITGroupDataChapter04Pamela - aUNITGroupPointers
UNITGroupChapter04Annand,<>aUNITGroupDataChapter04Annand - aUNITGroupPointers
UNITGroupChapter04Andrey,<>aUNITGroupDataChapter04Andrey - aUNITGroupPointers
UNITGroupChapter04Zaxon,<>aUNITGroupDataChapter04Zaxon - aUNITGroupPointers
UNITGroupChapter05Start,<>aUNITGroupDataChapter05Start - aUNITGroupPointers
UNITGroupChapter05Leonster,<>aUNITGroupDataChapter05Leonster - aUNITGroupPointers
UNITGroupChapter05Phinora,<>aUNITGroupDataChapter05Phinora - aUNITGroupPointers
UNITGroupChapter05Velthomer,<>aUNITGroupDataChapter05Velthomer - aUNITGroupPointers
UNITGroupChapter05Belhalla,<>aUNITGroupDataChapter05Belhalla - aUNITGroupPointers
UNITGroupChapter05Thracia,<>aUNITGroupDataChapter05Thracia - aUNITGroupPointers
UNITGroupChapter06Start,<>aUNITGroupDataChapter06Start - aUNITGroupPointers
UNITGroupChapter06Ganeishire,<>aUNITGroupDataChapter06Ganeishire - aUNITGroupPointers
UNITGroupChapter06Ribaut,<>aUNITGroupDataChapter06Ribaut - aUNITGroupPointers
UNITGroupChapter07Start,<>aUNITGroupDataChapter07Start - aUNITGroupPointers
UNITGroupChapter07Opening,<>aUNITGroupDataChapter07Opening - aUNITGroupPointers
UNITGroupChapter07Melgen,<>aUNITGroupDataChapter07Melgen - aUNITGroupPointers
UNITGroupChapter07Ulster,<>aUNITGroupDataChapter07Ulster - aUNITGroupPointers
UNITGroupChapter08Start,<>aUNITGroupDataChapter08Start - aUNITGroupPointers
UNITGroupChapter08Opening,<>aUNITGroupDataChapter08Opening - aUNITGroupPointers
UNITGroupChapter08Meath,<>aUNITGroupDataChapter08Meath - aUNITGroupPointers
UNITGroupChapter08Febail,<>aUNITGroupDataChapter08Febail - aUNITGroupPointers
UNITGroupChapter09Start,<>aUNITGroupDataChapter09Start - aUNITGroupPointers
UNITGroupChapter09Opening,<>aUNITGroupDataChapter09Opening - aUNITGroupPointers
UNITGroupChapter09Travant,<>aUNITGroupDataChapter09Travant - aUNITGroupPointers
UNITGroupChapter09Grutia,<>aUNITGroupDataChapter09Grutia - aUNITGroupPointers
UNITGroupChapter09Thracia,<>aUNITGroupDataChapter09Thracia - aUNITGroupPointers
UNITGroupChapter10Opening1,<>aUNITGroupDataChapter10Opening1 - aUNITGroupPointers
UNITGroupChapter10Opening2,<>aUNITGroupDataChapter10Opening2 - aUNITGroupPointers
UNITGroupChapter10Miletos,<>aUNITGroupDataChapter10Miletos - aUNITGroupPointers
UNITGroupChapter10Chalphy,<>aUNITGroupDataChapter10Chalphy - aUNITGroupPointers
UNITGroupChapterFinalOpening,<>aUNITGroupDataChapterFinalOpening - aUNITGroupPointers
UNITGroupChapterFinalDozel,<>aUNITGroupDataChapterFinalDozel - aUNITGroupPointers
UNITGroupChapterFinalYngvi,<>aUNITGroupDataChapterFinalYngvi - aUNITGroupPointers
UNITGroupChapterFinalFriege,<>aUNITGroupDataChapterFinalFriege - aUNITGroupPointers
UNITGroupChapterFinalVelthomer,<>aUNITGroupDataChapterFinalVelthomer - aUNITGroupPointers
UNITGroupChapterFinalBelhalla,<>aUNITGroupDataChapterFinalBelhalla - aUNITGroupPointers
UNITGroupChapterFinalThracia,<>aUNITGroupDataChapterFinalThracia - aUNITGroupPointers
UNITGroupChapterFinalUnused,<>aUNITGroupDataChapterFinalUnused - aUNITGroupPointers
