.word 0,Offset
IronSwordDescription,aItemDescriptions.None - aItemDescriptionOffsets
SteelSwordDescription,aItemDescriptions.None - aItemDescriptionOffsets
SilverSwordDescription,aItemDescriptions.None - aItemDescriptionOffsets
IronBladeDescription,aItemDescriptions.None - aItemDescriptionOffsets
SteelBladeDescription,aItemDescriptions.None - aItemDescriptionOffsets
SilverBladeDescription,aItemDescriptions.None - aItemDescriptionOffsets
MiracleSwordDescription,aItemDescriptions.MiracleSword - aItemDescriptionOffsets
ThiefSwordDescription,aItemDescriptions.ThiefSword - aItemDescriptionOffsets
BarrierBladeDescription,aItemDescriptions.BarrierBlade - aItemDescriptionOffsets
BerserkSwordDescription,aItemDescriptions.BerserkSword - aItemDescriptionOffsets
BraveSwordDescription,aItemDescriptions.BraveWeapon - aItemDescriptionOffsets
SilenceSwordDescription,aItemDescriptions.SilenceSword - aItemDescriptionOffsets
SleepSwordDescription,aItemDescriptions.SleepSword - aItemDescriptionOffsets
SlimSwordDescription,aItemDescriptions.None - aItemDescriptionOffsets
SafeguardDescription,aItemDescriptions.Safeguard - aItemDescriptionOffsets
FireSwordDescription,aItemDescriptions.FireSword - aItemDescriptionOffsets
EarthSwordDescription,aItemDescriptions.EarthSword - aItemDescriptionOffsets
ThunderSwordDescription,aItemDescriptions.ThunderSword - aItemDescriptionOffsets
WindSwordDescription,aItemDescriptions.WindSword - aItemDescriptionOffsets
LightBrandDescription,aItemDescriptions.LightBrand - aItemDescriptionOffsets
MystletainnDescription,aItemDescriptions.Mystletainn - aItemDescriptionOffsets
TyrfingDescription,aItemDescriptions.Tyrfing - aItemDescriptionOffsets
BalmungDescription,aItemDescriptions.HolyWeapon - aItemDescriptionOffsets
ArmorslayerDescription,aItemDescriptions.Armorslayer - aItemDescriptionOffsets
WingclipperDescription,aItemDescriptions.AntiFliers - aItemDescriptionOffsets
BrokenSwordADescription,aItemDescriptions.None - aItemDescriptionOffsets
BrokenSwordBDescription,aItemDescriptions.None - aItemDescriptionOffsets
BrokenSwordCDescription,aItemDescriptions.None - aItemDescriptionOffsets
IronLanceDescription,aItemDescriptions.None - aItemDescriptionOffsets
SteelLanceDescription,aItemDescriptions.None - aItemDescriptionOffsets
SilverLanceDescription,aItemDescriptions.None - aItemDescriptionOffsets
JavelinDescription,aItemDescriptions.None - aItemDescriptionOffsets
RidersbaneDescription,aItemDescriptions.Ridersbane - aItemDescriptionOffsets
