.structItemNameOffset 0,Offset
IronSwordName,aItemNames.IronSword
SteelSwordName,aItemNames.SteelSword
SilverSwordName,aItemNames.SilverSword
IronBladeName,aItemNames.IronBlade
SteelBladeName,aItemNames.SteelBlade
SilverBladeName,aItemNames.SilverBlade
MiracleSwordName,aItemNames.MiracleSword
ThiefSwordName,aItemNames.ThiefSword
BarrierBladeName,aItemNames.BarrierBlade
BerserkSwordName,aItemNames.BerserkSword
BraveSwordName,aItemNames.BraveSword
SilenceSwordName,aItemNames.SilenceSword
SleepSwordName,aItemNames.SleepSword
SlimSwordName,aItemNames.SlimSword
SafeguardName,aItemNames.Safeguard
FireSwordName,aItemNames.FireSword
EarthSwordName,aItemNames.EarthSword
ThunderSwordName,aItemNames.ThunderSword
WindSwordName,aItemNames.WindSword
LightBrandName,aItemNames.LightBrand
MystletainnName,aItemNames.Mystletainn
TyrfingName,aItemNames.Tyrfing
BalmungName,aItemNames.Balmung
ArmorslayerName,aItemNames.Armorslayer
WingclipperName,aItemNames.Wingclipper
BrokenSwordAName,aItemNames.BrokenSword
BrokenSwordBName,aItemNames.BrokenSword
BrokenSwordCName,aItemNames.BrokenSword
IronLanceName,aItemNames.IronLance
SteelLanceName,aItemNames.SteelLance
SilverLanceName,aItemNames.SilverLance
JavelinName,aItemNames.Javelin
RidersbaneName,aItemNames.Ridersbane
BraveLanceName,aItemNames.BraveLance
SlimLanceName,aItemNames.SlimLance
GungnirName,aItemNames.Gungnir
GaeBolgName,aItemNames.GaeBolg
BrokenLanceAName,aItemNames.BrokenLance
BrokenLanceBName,aItemNames.BrokenLance
BrokenLanceCName,aItemNames.BrokenLance
IronAxeName,aItemNames.IronAxe
SteelAxeName,aItemNames.SteelAxe
SilverAxeName,aItemNames.SilverAxe
BraveAxeName,aItemNames.BraveAxe
HelswathName,aItemNames.Helswath
HandAxeName,aItemNames.HandAxe
BrokenAxeAName,aItemNames.BrokenAxe
BrokenAxeBName,aItemNames.BrokenAxe
BrokenAxeCName,aItemNames.BrokenAxe
IronBowName,aItemNames.IronBow
SteelBowName,aItemNames.SteelBow
SilverBowName,aItemNames.SilverBow
BraveBowName,aItemNames.BraveBow
KillerBowName,aItemNames.KillerBow
YewfelleName,aItemNames.Yewfelle
BrokenBowAName,aItemNames.BrokenBow
BrokenBowBName,aItemNames.BrokenBow
BrokenBowCName,aItemNames.BrokenBow
BallistaName,aItemNames.Ballista
IronBallistaName,aItemNames.IronBallista
