.word 0,Offset
DeirdreLoveBase,aGen1LoveBases.DeirdreGen1LoveBasesEntry - aLoveBaseOffsets
EthlynLoveBase,aGen1LoveBases.EthlynGen1LoveBasesEntry - aLoveBaseOffsets
LachesisLoveBase,aGen1LoveBases.LachesisGen1LoveBasesEntry - aLoveBaseOffsets
AyraLoveBase,aGen1LoveBases.AyraGen1LoveBasesEntry - aLoveBaseOffsets
ErinysLoveBase,aGen1LoveBases.ErinysGen1LoveBasesEntry - aLoveBaseOffsets
TailtiuLoveBase,aGen1LoveBases.TailtiuGen1LoveBasesEntry - aLoveBaseOffsets
SilviaLoveBase,aGen1LoveBases.SilviaGen1LoveBasesEntry - aLoveBaseOffsets
EdainLoveBase,aGen1LoveBases.EdainGen1LoveBasesEntry - aLoveBaseOffsets
BrigidLoveBase,aGen1LoveBases.BrigidGen1LoveBasesEntry - aLoveBaseOffsets
DaisyLoveBase,aGen2LoveBases.DaisyGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
CreidneLoveBase,aGen2LoveBases.CreidneGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
MuirneLoveBase,aGen2LoveBases.MuirneGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
JuliaLoveBase,aGen2LoveBases.JuliaGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
AltenaLoveBase,aGen2LoveBases.AltenaGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
HerminaLoveBase,aGen2LoveBases.HerminaGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
LindaLoveBase,aGen2LoveBases.LindaGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
LayleaLoveBase,aGen2LoveBases.LayleaGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
JeanneLoveBase,aGen2LoveBases.JeanneGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
PattyLoveBase,aGen2LoveBases.PattyGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
LarceiLoveBase,aGen2LoveBases.LarceiGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
LanaLoveBase,aGen2LoveBases.LanaGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
FeeLoveBase,aGen2LoveBases.FeeGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
TineLoveBase,aGen2LoveBases.TineGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
LeneLoveBase,aGen2LoveBases.LeneGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
NannaLoveBase,aGen2LoveBases.NannaGen2LoveBasesEntry - size(structGen1LoveEntry) - aLoveBaseOffsets
