.word 0,Offset
Cavalier,aCavalierMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
LanceKnight,aLanceKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
BowKnight,aBowKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
AxeKnight,aAxeKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
FreeKnight,aFreeKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Troubadour,aTroubadourMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
KnightLord,aKnightLordMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
DukeKnight,aDukeKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
MasterKnight,aMasterKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Paladin,aPaladinMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
PaladinF,aPaladinFMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
ArchKnight,aArchKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Ranger,aRangerMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
MageKnight,aMageKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
GreatKnight,aGreatKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
PegasusRider,aPegasusRiderMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
PegasusKnight,aPegasusKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
FalconKnight,aFalconKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Dragonrider,aDragonRiderMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Dragonknight,aDragonKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Dragonmaster,aDragonMasterMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Archer,aArcherMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Myrmidon,aMyrmidonMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Swordmaster,aSwordmasterMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Sniper,aSniperMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Hero,aHeroMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
General,aGeneralMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Emperor,aEmperorMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Baron,aBaronMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Soldier,aSoldierMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
SpearSoldier,aSpearSoldierMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
AxeSoldier,aAxeSoldierMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
BowSoldier,aBowSoldierMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
SwordSoldier,aSwordSoldierMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
LanceArmor,aLanceArmorMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
AxeArmor,aAxeArmorMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
BowArmor,aBowArmorMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
SwordArmor,aSwordArmorMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Barbarian,aBarbarianMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Fighter,aFighterMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Brigand,aBrigandMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Warrior,aWarriorMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Hunter,aHunterMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Pirate,aPirateMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
JuniorLord,aJuniorLordMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
WarMage,aWarMageMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Prince,aPrinceMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Princess,aPrincessMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
WarMageF,aWarMageFMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Queen,aQueenMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Dancer,aDancerMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Priest,aPriestMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Mage,aMageMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
FireMage,aFireMageMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
ThunderMage,aThunderMageMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
WindMage,aWindMageMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
HighPriest,aHighPriestMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Bishop,aBishopMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Sage,aSageMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Bard,aBardMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Priestess,aPriestessMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
DarkMage,aDarkMageMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
DarkBishop,aDarkBishopMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Thief,aThiefMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Rogue,aRogueMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Civilian,aCivilianMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Child,aChildMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Ballistician,aBallisticianMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
IronBallistician,aIronBallisticianMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
KillerBallistician,aKillerBallisticianMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
GreatBallistician,aGreatBallisticianMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
DarkPrince,aDarkPrinceMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
