.word 0,Offset
DeirdreLoveGrowth,aGen1LoveGrowths.DeirdreGen1LoveGrowthsEntry - aLoveGrowthOffsets
EthlynLoveGrowth,aGen1LoveGrowths.EthlynGen1LoveGrowthsEntry - aLoveGrowthOffsets
LachesisLoveGrowth,aGen1LoveGrowths.LachesisGen1LoveGrowthsEntry - aLoveGrowthOffsets
AyraLoveGrowth,aGen1LoveGrowths.AyraGen1LoveGrowthsEntry - aLoveGrowthOffsets
ErinysLoveGrowth,aGen1LoveGrowths.ErinysGen1LoveGrowthsEntry - aLoveGrowthOffsets
TailtiuLoveGrowth,aGen1LoveGrowths.TailtiuGen1LoveGrowthsEntry - aLoveGrowthOffsets
SilviaLoveGrowth,aGen1LoveGrowths.SilviaGen1LoveGrowthsEntry - aLoveGrowthOffsets
EdainLoveGrowth,aGen1LoveGrowths.EdainGen1LoveGrowthsEntry - aLoveGrowthOffsets
BrigidLoveGrowth,aGen1LoveGrowths.BrigidGen1LoveGrowthsEntry - aLoveGrowthOffsets
DaisyLoveGrowth,aGen2LoveGrowths.DaisyGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
CreidneLoveGrowth,aGen2LoveGrowths.CreidneGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
MuirneLoveGrowth,aGen2LoveGrowths.MuirneGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
JuliaLoveGrowth,aGen2LoveGrowths.JuliaGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
AltenaLoveGrowth,aGen2LoveGrowths.AltenaGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
HerminaLoveGrowth,aGen2LoveGrowths.HerminaGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
LindaLoveGrowth,aGen2LoveGrowths.LindaGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
LayleaLoveGrowth,aGen2LoveGrowths.LayleaGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
JeanneLoveGrowth,aGen2LoveGrowths.JeanneGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
PattyLoveGrowth,aGen2LoveGrowths.PattyGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
LarceiLoveGrowth,aGen2LoveGrowths.LarceiGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
LanaLoveGrowth,aGen2LoveGrowths.LanaGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
FeeLoveGrowth,aGen2LoveGrowths.FeeGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
TineLoveGrowth,aGen2LoveGrowths.TineGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
LeneLoveGrowth,aGen2LoveGrowths.LeneGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
NannaLoveGrowth,aGen2LoveGrowths.NannaGen2LoveGrowthsEntry - size(structGen1LoveEntry) - aLoveGrowthOffsets
