.word 0,Offset
PeakName,aTerrainNames.Peak - aTerrainNameOffsets
ThicketName,aTerrainNames.Thicket - aTerrainNameOffsets
CliffName,aTerrainNames.Cliff - aTerrainNameOffsets
PlainsName,aTerrainNames.Plains - aTerrainNameOffsets
ForestName,aTerrainNames.Forest - aTerrainNameOffsets
SeaName,aTerrainNames.Sea - aTerrainNameOffsets
RiverName,aTerrainNames.River - aTerrainNameOffsets
MountainName,aTerrainNames.Mountain - aTerrainNameOffsets
DesertName,aTerrainNames.Desert - aTerrainNameOffsets
CastleName,aTerrainNames.Castle - aTerrainNameOffsets
FortName,aTerrainNames.Fort - aTerrainNameOffsets
HouseName,aTerrainNames.House - aTerrainNameOffsets
CastleGate1Name,aTerrainNames.CastleGate1 - aTerrainNameOffsets
RampartName,aTerrainNames.Rampart - aTerrainNameOffsets
SandName,aTerrainNames.Sand - aTerrainNameOffsets
BridgeName,aTerrainNames.Bridge - aTerrainNameOffsets
SwampName,aTerrainNames.Swamp - aTerrainNameOffsets
CastleGate2Name,aTerrainNames.CastleGate2 - aTerrainNameOffsets
VillageName,aTerrainNames.Village - aTerrainNameOffsets
VillageRuinsName,aTerrainNames.VillageRuins - aTerrainNameOffsets
StoreName,aTerrainNames.Store - aTerrainNameOffsets
Ruins2Name,aTerrainNames.Ruins2 - aTerrainNameOffsets
ChurchName,aTerrainNames.Church - aTerrainNameOffsets
ShrineName,aTerrainNames.Shrine - aTerrainNameOffsets
BragiTowerName,aTerrainNames.BragiTower - aTerrainNameOffsets
RoadName,aTerrainNames.Road - aTerrainNameOffsets
