.word 1,PortraitID
PortraitSigurd,$0000
PortraitNaoise,$0001
PortraitAlec,$0002
PortraitArden,$0003
PortraitFinn,$0004
PortraitQuan,$0005
PortraitMidir,$0006
PortraitLewyn,$0007
PortraitChulainn,$0008
PortraitAzelle,$0009
PortraitJamke,$000A
PortraitClaud,$000B
PortraitBeowulf,$000C
PortraitLex,$000D
PortraitDew,$000E
PortraitDeirdre,$000F
PortraitEthlyn,$0010
PortraitLachesis,$0011
PortraitAyra,$0012
PortraitErinys,$0013
PortraitTailtiu,$0014
PortraitSilvia,$0015
PortraitEdain,$0016
PortraitBrigid,$0017
PortraitSeliph,$001A
PortraitShannan,$001B
PortraitDalvin,$001C
PortraitAsaello,$001D
PortraitLeif,$001E
PortraitIuchar,$001F
PortraitCharlot,$0020
PortraitHawk,$0021
PortraitTristan,$0022
PortraitOldFinn,$0023
PortraitDeimne,$0024
PortraitHannibal,$0025
PortraitAres,$0086
PortraitAmid,$0027
PortraitOifey,$009A
PortraitDaisy,$0029
PortraitCreidne,$002A
PortraitMuirne,$002B
PortraitJulia,$002C
PortraitAltena,$002D
PortraitHermina,$002E
PortraitLinda,$002F
PortraitLaylea,$0030
PortraitJeanne,$0031
PortraitIucharba,$0032
PortraitScathach,$0033
PortraitFebail,$0034
PortraitCoirpre,$0035
PortraitCed,$0036
PortraitDiarmuid,$0037
PortraitLester,$0038
PortraitArthur,$0039
PortraitPatty,$003A
PortraitLarcei,$003B
PortraitLana,$003C
PortraitFee,$003D
PortraitTine,$003E
PortraitLene,$003F
PortraitNanna,$0040
PortraitGerrard,$0043
PortraitDiMaggio,$0042
PortraitVerdaneArmy1,$00F3
PortraitVerdaneArmy2,$00F3
PortraitVerdaneArmy3,$00F3
PortraitVerdaneArmy4,$00F3
PortraitVerdaneArmy5,$00F3
PortraitVerdaneArmy6,$00F3
PortraitCimbaeth,$0044
PortraitVerdaneArmy7,$00F3
PortraitVerdaneArmy8,$00F3
PortraitVerdaneArmy9,$00F3
PortraitVerdaneArmy10,$00F3
PortraitMunnir,$0041
PortraitCommander1,$00F3
PortraitVerdaneArmy11,$00F3
PortraitVerdaneArmy12,$00F3
PortraitVerdaneArmy13,$00F3
PortraitSandima,$0045
PortraitVerdaneArmy14,$00F3
PortraitVerdaneArmy15,$00F3
PortraitCommander2,$00F3
PortraitVerdaneArmy16,$00F3
PortraitBandit1,$00F3
PortraitElliotCh01,$0048
PortraitHeirheinArmy1,$00F3
PortraitEldiganCh01,$0056
PortraitCrossKnight,$00F3
PortraitCommander3,$00F3
PortraitBordeaux,$0047
PortraitHeirheinArmy2,$00F3
PortraitPhilip,$004A
PortraitHeirheinArmy3,$00F3
PortraitHeirheinArmy4,$00F3
PortraitHeirheinArmy5,$00F3
PortraitHeirheinArmy6,$00F3
PortraitHeirheinArmy7,$00F3
PortraitHeirheinArmy8,$00F3
PortraitElliotCh02,$0048
PortraitHeirheinArmy9,$00F3
PortraitHeirheinArmy10,$00F3
PortraitHeirheinArmy11,$00F3
PortraitCommander4,$00F3
PortraitInfiniArmy1,$00F3
PortraitBandit2,$00F3
PortraitMackilyArmy1,$00F3
PortraitEve,$007F
PortraitMacBeth,$004C
PortraitInfiniArmy2,$00F3
PortraitInfiniArmy3,$00F3
PortraitInfiniArmy4,$00F3
PortraitWaltz,$004B
PortraitMercenary1,$00F3
PortraitClement,$0046
PortraitMackilyArmy2,$00F3
PortraitMackilyArmy3,$00F3
PortraitMackilyArmy4,$00F3
PortraitCommander5,$00F3
PortraitMackilyArmy5,$00F3
PortraitChagallCh02,$004D
PortraitAgustiArmy1,$00F3
PortraitAgustiArmy2,$00F3
PortraitCommander6,$00F3
PortraitAgustiArmy3,$00F3
PortraitCommander7,$00F3
PortraitAgustiArmy4,$00F3
PortraitErinysSquad,$00F3
PortraitZane,$0049
PortraitAgustiArmy5,$00F3
PortraitAgustiArmy6,$00F3
PortraitAgustiArmy7,$00F3
PortraitAgustiArmy8,$00F3
PortraitEva,$0080
PortraitAlva,$0081
PortraitJacobi,$004E
PortraitMadinoArmy1,$00F3
PortraitMadinoArmy2,$00F3
PortraitMadinoArmy3,$00F3
PortraitMadinoArmy4,$00F3
PortraitMadinoArmy5,$00F3
PortraitCommander8,$00F3
PortraitMadinoArmy6,$00F3
PortraitCommander9,$00F3
PortraitMadinoArmy7,$00F3
PortraitCommander10,$00F3
PortraitMadinoArmy8,$00F3
PortraitCommander11,$00F3
PortraitMadinoArmy9,$00F3
PortraitCommander12,$00F3
PortraitMadinoArmy10,$00F3
PortraitCommander13,$00F3
PortraitMadinoArmy11,$00F3
PortraitPirate1,$00F3
PortraitCommander14,$00F3
PortraitSylvaleArmy1,$00F3
PortraitEldiganCh03,$0056
PortraitCrossKnight2,$00F3
PortraitChagallCh03,$004D
PortraitSylvaleArmy2,$00F3
PortraitSylvaleArmy3,$00F3
PortraitPapilio,$0076
PortraitThraciaArmy1,$00F3
PortraitPirate2,$00F3
PortraitPirate3,$00F3
PortraitPirate4,$00F3
PortraitPirate5,$00F3
PortraitDuvall,$0050
PortraitPirate6,$00F3
PortraitPizare,$004F
PortraitPirate7,$00F3
PortraitPirate8,$00F3
PortraitPirate9,$00F3
PortraitPirate10,$00F3
PortraitArvis,$0055
PortraitLombardCh03,$0053
PortraitGrauenritter1,$00F3
PortraitReptorCh03,$0052
PortraitGelbenritter1,$00F3
PortraitAnnandUnused,$005B
PortraitSilesseArmy1,$00F3
PortraitMyos,$0057
PortraitTofaArmy1,$00F3
PortraitTofaArmy2,$00F3
PortraitCommander15,$00F3
PortraitTofaArmy3,$00F3
PortraitCuvuli,$0063
PortraitTofaArmy4,$00F3
PortraitCommander16,$00F3
PortraitTofaArmy5,$00F3
PortraitTofaArmy6,$00F3
PortraitDithorba,$005A
PortraitDithorbaSquad,$00F3
PortraitPirate11,$00F3
PortraitSilesseArmy2,$00F3
PortraitDaccar,$0058
PortraitAnnand,$005B
PortraitAnnandSquad,$00F3
PortraitPamela,$0059
PortraitPamelaSquad,$00F3
PortraitAndreyCh04,$0051
PortraitBeigenritter1,$00F3
PortraitCivilian1,$00F3
PortraitCivilian2,$00F3
PortraitDonovan,$005C
PortraitZaxonArmy1,$00F3
PortraitZaxonArmy2,$00F3
PortraitZaxonArmy3,$00F3
PortraitZaxonArmy4,$00F3
PortraitZaxonArmy5,$00F3
PortraitLamia,$0054
PortraitMercenary2,$00F3
PortraitMercenary3,$00F3
PortraitMercenary4,$00F3
PortraitMercenary5,$00F3
PortraitMercenary6,$00F3
PortraitLombardCh05,$005D
PortraitChild1,$00F3
PortraitLubeckArmy1,$00F3
PortraitSlayder,$009B
PortraitLubeckArmy2,$00F3
PortraitCommander17,$00F3
PortraitLubeckArmy3,$00F3
PortraitLubeckArmy4,$00F3
PortraitBandit3,$00F3
PortraitCommander18,$00F3
PortraitLubeckArmy5,$00F3
PortraitLubeckArmy6,$00F3
PortraitLubeckArmy7,$00F3
PortraitByron,$0099
PortraitAndreyCh05,$0051
PortraitBeigenritter2,$00F3
PortraitVaja,$0061
PortraitVelthomerArmy1,$00F3
PortraitPriest1,$00F3
PortraitVelthomerArmy2,$00F3
PortraitTravant,$0062
PortraitMagorn,$0064
PortraitThraciaArmy2,$00F3
PortraitLeonsterArmy,$00F3
PortraitAida,$0065
PortraitVelthomerArmy3,$00F3
PortraitReptorCh05,$005F
PortraitFriegeArmy1,$00F3
PortraitFriegeArmy2,$00F3
PortraitFriegeArmy3,$00F3
PortraitFriegeArmy4,$00F3
PortraitFriegeArmy5,$00F3
PortraitFriegeArmy6,$00F3
PortraitFriegeArmy7,$00F3
PortraitFriegeArmy8,$00F3
PortraitCommander19,$00F3
PortraitRotenritter1,$00F3
PortraitCommander20,$00F3
PortraitRotenritter2,$00F3
PortraitCommander21,$00F3
PortraitRotenritter3,$00F3
PortraitArvisPrologue,$0055
PortraitCommander22,$00F3
PortraitRotenritter4,$00F3
PortraitHarold,$0068
PortraitGaneishireArmy1,$00F3
PortraitGaneishireArmy2,$00F3
PortraitBandit4,$00F3
PortraitSofalaArmy1,$00F3
PortraitIsaachArmy1,$00F3
PortraitIsaachArmy2,$00F3
PortraitSofalaArmy2,$00F3
PortraitSchmidt,$009B
PortraitRibautArmy,$00F3
PortraitDanann,$0053
PortraitGaneishireArmy3,$00F3
PortraitGaneishireArmy4,$00F3
PortraitKutuzov1,$0093
PortraitAedMage1,$00F3
PortraitAedMage2,$00F3
PortraitMercenary7,$00F3
PortraitAedMage3,$00F3
PortraitCommander23,$00F3
PortraitUlsterArmy1,$00F3
PortraitUlsterArmy2,$00F3
PortraitBandit5,$00F3
PortraitBloom,$0052
PortraitUlsterArmy3,$00F3
PortraitDahnaArmy1,$00F3
PortraitIshtore,$006C
PortraitMelgenArmy1,$00F3
PortraitLiza,$006D
PortraitMelgenArmy2,$00F3
PortraitMelgenArmy3,$00F3
PortraitMelgenArmy4,$00F3
PortraitMelgenArmy5,$00F3
PortraitMelgenArmy6,$00F3
PortraitMelgenArmy7,$00F3
PortraitJavarro,$006B
PortraitMercenary8,$00F3
PortraitMercenary9,$00F3
PortraitBramsel,$0069
PortraitDahnaArmy2,$00F3
PortraitCommander24,$00F3
PortraitUlsterArmy4,$00F3
PortraitUlsterArmy5,$00F3
PortraitBanba1,$006F
PortraitFotla1,$0070
PortraitEriu1,$0071
PortraitHighMage1,$00F3
PortraitHighMage2,$00F3
PortraitHighMage3,$00F3
PortraitMuhammad,$0079
PortraitConnachtArmy1,$00F3
PortraitConnachtArmy2,$00F3
PortraitConnachtArmy3,$00F3
PortraitBishop1,$00F3
PortraitOvo,$0078
PortraitConnachtArmy4,$00F3
PortraitConnachtArmy5,$00F3
PortraitBandit6,$00F3
PortraitCommander25,$00F3
PortraitConnachtArmy6,$00F3
PortraitIshtar,$008C
PortraitCommander26,$00F3
PortraitConnachtArmy7,$00F3
PortraitBloom2,$0052
