.long 0,Pointer
PortraitGraphic00,$CA65B5
PortraitGraphic01,$CA6B56
PortraitGraphic02,$CA706A
PortraitGraphic03,$CA75A0
PortraitGraphic04,$CA7B54
PortraitGraphic05,$CB0039
PortraitGraphic06,$CB05C0
PortraitGraphic07,$CB0B07
PortraitGraphic08,$CB10EC
PortraitGraphic09,$CB1694
PortraitGraphic0A,$CB1B6F
PortraitGraphic0B,$CB2040
PortraitGraphic0C,$CB2575
PortraitGraphic0D,$CB2A8C
PortraitGraphic0E,$CB2F53
PortraitGraphic0F,$CB349E
PortraitGraphic10,$CB3A6C
PortraitGraphic11,$CB3F94
PortraitGraphic12,$CB44D7
PortraitGraphic13,$CB4A26
PortraitGraphic14,$CB4F51
PortraitGraphic15,$CB5576
PortraitGraphic16,$CB5B80
PortraitGraphic17,$CB6140
PortraitGraphic18,$CB6718
PortraitGraphic19,$CB6C8A
PortraitGraphic1A,$CB75B4
PortraitGraphic1B,$CB7B17
PortraitGraphic1C,$CC0012
PortraitGraphic1D,$CC0502
PortraitGraphic1E,$CC0A21
PortraitGraphic1F,$CC0F72
PortraitGraphic20,$CC1477
PortraitGraphic21,$CC1905
PortraitGraphic22,$CC1E2D
PortraitGraphic23,$CC2335
PortraitGraphic24,$CC282A
PortraitGraphic25,$CC2D11
PortraitGraphic26,$CC3256
PortraitGraphic27,$CC37D0
PortraitGraphic28,$CC3CF2
PortraitGraphic29,$CC41E5
PortraitGraphic2A,$CC4750
PortraitGraphic2B,$CC4CCB
PortraitGraphic2C,$CC515C
PortraitGraphic2D,$CC56C8
PortraitGraphic2E,$CC5CA9
PortraitGraphic2F,$CC6154
PortraitGraphic30,$CC670A
PortraitGraphic31,$CC6D2F
PortraitGraphic32,$CC72A6
PortraitGraphic33,$CC77A1
PortraitGraphic34,$CC7C8A
PortraitGraphic35,$CD0148
PortraitGraphic36,$CD05C8
PortraitGraphic37,$CD0AA1
PortraitGraphic38,$CD1011
PortraitGraphic39,$CD14C3
PortraitGraphic3A,$CD197C
PortraitGraphic3B,$CD1EFB
PortraitGraphic3C,$CD246B
PortraitGraphic3D,$CD2969
PortraitGraphic3E,$CD2E3C
PortraitGraphic3F,$CD3461
PortraitGraphic40,$CD3A0D
PortraitGraphic41,$CD44F3
PortraitGraphic42,$CD4A7F
PortraitGraphic43,$CD4F92
PortraitGraphic44,$CD54F4
PortraitGraphic45,$CD5A16
PortraitGraphic46,$CD5F42
PortraitGraphic47,$CD648C
PortraitGraphic48,$CD69A7
PortraitGraphic49,$CD6E47
PortraitGraphic4A,$CD72F3
PortraitGraphic4B,$CD780E
PortraitGraphic4C,$CD7D6C
PortraitGraphic4D,$CE01B7
PortraitGraphic4E,$CE0724
PortraitGraphic4F,$CD4F92
PortraitGraphic50,$CD4A7F
PortraitGraphic51,$CE0C32
PortraitGraphic52,$CE1177
PortraitGraphic53,$CE1619
PortraitGraphic54,$CE1B66
PortraitGraphic55,$CE2047
PortraitGraphic56,$CE2619
PortraitGraphic57,$CD69A7
PortraitGraphic58,$CD648C
PortraitGraphic59,$CE2BAA
PortraitGraphic5A,$CE306B
PortraitGraphic5B,$CE3509
PortraitGraphic5C,$CD54F4
PortraitGraphic5D,$CE39F4
PortraitGraphic5E,$CE0C32
PortraitGraphic5F,$CE3F5B
PortraitGraphic60,$CE442D
PortraitGraphic61,$CE306B
PortraitGraphic62,$CE492B
PortraitGraphic63,$CE4F2B
PortraitGraphic64,$CD6E47
PortraitGraphic65,$CE5423
PortraitGraphic66,$CD5A16
PortraitGraphic67,$CE592E
PortraitGraphic68,$CD6E47
PortraitGraphic69,$CD5F42
PortraitGraphic6A,$CD5A16
PortraitGraphic6B,$CE0724
PortraitGraphic6C,$CE442D
PortraitGraphic6D,$CE5423
