.long 0,Pointer
PortraitPalette00,$8CA800
PortraitPalette01,$8CA820
PortraitPalette02,$8CA840
PortraitPalette03,$8CA860
PortraitPalette04,$8CA880
PortraitPalette05,$8CA8A0
PortraitPalette06,$8CA8C0
PortraitPalette07,$8CA8E0
PortraitPalette08,$8CA900
PortraitPalette09,$8CA920
PortraitPalette0A,$8CA940
PortraitPalette0B,$8CA960
PortraitPalette0C,$8CA980
PortraitPalette0D,$8CA9A0
PortraitPalette0E,$8CA9C0
PortraitPalette0F,$8CA9E0
PortraitPalette10,$8CAA00
PortraitPalette11,$8CAA20
PortraitPalette12,$8CAA40
PortraitPalette13,$8CAA60
PortraitPalette14,$8CAA80
PortraitPalette15,$8CAAA0
PortraitPalette16,$8CAAC0
PortraitPalette17,$8CAAE0
PortraitPalette18,$8CAB00
PortraitPalette19,$8CAB20
PortraitPalette1A,$8CAD00
PortraitPalette1B,$8CAD20
PortraitPalette1C,$8CAD40
PortraitPalette1D,$8CAD60
PortraitPalette1E,$8CAD80
PortraitPalette1F,$8CADA0
PortraitPalette20,$8CADC0
PortraitPalette21,$8CADE0
PortraitPalette22,$8CAE00
PortraitPalette23,$8CAE20
PortraitPalette24,$8CAE40
PortraitPalette25,$8CAE60
PortraitPalette26,$8CAE80
PortraitPalette27,$8CAEA0
PortraitPalette28,$8CAEC0
PortraitPalette29,$8CAEE0
PortraitPalette2A,$8CAF00
PortraitPalette2B,$8CAF20
PortraitPalette2C,$8CAF40
PortraitPalette2D,$8CAF60
PortraitPalette2E,$8CAF80
PortraitPalette2F,$8CAFA0
PortraitPalette30,$8CAFC0
PortraitPalette31,$8CAFE0
PortraitPalette32,$8CB000
PortraitPalette33,$8CB020
PortraitPalette34,$8CB040
PortraitPalette35,$8CB060
PortraitPalette36,$8CB080
PortraitPalette37,$8CB0A0
PortraitPalette38,$8CB0C0
PortraitPalette39,$8CB0E0
PortraitPalette3A,$8CB100
PortraitPalette3B,$8CB120
PortraitPalette3C,$8CB140
PortraitPalette3D,$8CB160
PortraitPalette3E,$8CB180
PortraitPalette3F,$8CB1A0
PortraitPalette40,$8CB1C0
PortraitPalette41,$8CB200
PortraitPalette42,$8CB220
PortraitPalette43,$8CB240
PortraitPalette44,$8CB260
PortraitPalette45,$8CB280
PortraitPalette46,$8CB2A0
PortraitPalette47,$8CB2C0
PortraitPalette48,$8CB2E0
PortraitPalette49,$8CB300
PortraitPalette4A,$8CB320
PortraitPalette4B,$8CB340
PortraitPalette4C,$8CB360
PortraitPalette4D,$8CB380
PortraitPalette4E,$8CB3A0
PortraitPalette4F,$8CB3C0
PortraitPalette50,$8CB3E0
PortraitPalette51,$8CB400
PortraitPalette52,$8CB420
PortraitPalette53,$8CB440
PortraitPalette54,$8CB460
PortraitPalette55,$8CB480
PortraitPalette56,$8CB4A0
PortraitPalette57,$8CB4C0
PortraitPalette58,$8CB4E0
PortraitPalette59,$8CB500
PortraitPalette5A,$8CB520
PortraitPalette5B,$8CB540
PortraitPalette5C,$8CB560
PortraitPalette5D,$8CB580
PortraitPalette5E,$8CB5A0
PortraitPalette5F,$8CB5C0
PortraitPalette60,$8CB5E0
PortraitPalette61,$8CB600
PortraitPalette62,$8CB620
PortraitPalette63,$8CB640
PortraitPalette64,$8CB660
PortraitPalette65,$8CB680
PortraitPalette66,$8CB6A0
PortraitPalette67,$8CB6C0
PortraitPalette68,$8CB6E0
PortraitPalette69,$8CB700
PortraitPalette6A,$8CB720
PortraitPalette6B,$8CB740
PortraitPalette6C,$8CB760
PortraitPalette6D,$8CB780
PortraitPalette6E,$8CB7A0
PortraitPalette6F,$8CB7C0
PortraitPalette70,$8CB7E0
PortraitPalette71,$8CB800
PortraitPalette72,$8CB820
PortraitPalette73,$8CB840
PortraitPalette74,$8CB860
PortraitPalette75,$8CB880
PortraitPalette76,$8CB8A0
PortraitPalette77,$8CB8C0
PortraitPalette78,$8CB8E0
PortraitPalette79,$8CB900
PortraitPalette7A,$8CB920
PortraitPalette7B,$8CB940
PortraitPalette7C,$8CB960
PortraitPalette7D,$8CB980
PortraitPalette7E,$8CB9A0
PortraitPalette7F,$8CB9C0
PortraitPalette80,$8CB9E0
PortraitPalette81,$8CBA00
PortraitPalette82,$8CBA20
PortraitPalette83,$8CBA40
PortraitPalette84,$8CBA60
PortraitPalette85,$8CBA80
PortraitPalette86,$8CBAA0
PortraitPalette87,$8CBAC0
PortraitPalette88,$8CBAE0
PortraitPalette89,$8CBB00
PortraitPalette8A,$8CBB20
PortraitPalette8B,$8CBB40
PortraitPalette8C,$8CBB60
PortraitPalette8D,$8CBB80
PortraitPalette8E,$8CBBA0
PortraitPalette8F,$8CBBC0
PortraitPalette90,$8CBBE0
PortraitPalette91,$8CBC00
PortraitPalette92,$8CBC20
PortraitPalette93,$8CBC40
PortraitPalette94,$8CBC60
PortraitPalette95,$8CBC80
PortraitPalette96,$8CBCA0
PortraitPalette97,$8CBCC0
PortraitPalette98,$8CBCE0
PortraitPalette99,$8CBD00
PortraitPalette9A,$8CBD20
PortraitPalette9B,$8CBD40
PortraitPalette9C,$8CBD60
PortraitPalette9D,$8CBD80
PortraitPalette9E,$8CBDA0
PortraitPalette9F,$8CBDC0
PortraitPaletteA0,$8CBDE0
PortraitPaletteA1,$8CBE00
PortraitPaletteA2,$8CBE20
PortraitPaletteA3,$8CBE40
PortraitPaletteA4,$8CBE60
PortraitPaletteA5,$8CBE80
PortraitPaletteA6,$8CBEA0
PortraitPaletteA7,$8CBEC0
PortraitPaletteA8,$8CBEE0
PortraitPaletteA9,$8CBF00
PortraitPaletteAA,$8CBF20
PortraitPaletteAB,$8CBF40
PortraitPaletteAC,$8CBF60
PortraitPaletteAD,$8CBF80
PortraitPaletteAE,$8CBFA0
PortraitPaletteAF,$8CBFC0
PortraitPaletteB0,$8CBFE0
PortraitPaletteB1,$8CC000
PortraitPaletteB2,$8CC020
PortraitPaletteB3,$8CC040
PortraitPaletteB4,$8CC060
PortraitPaletteB5,$8CC080
PortraitPaletteB6,$8CC0A0
PortraitPaletteB7,$8CC0C0
PortraitPaletteB8,$8CC0E0
PortraitPaletteB9,$8CC100
PortraitPaletteBA,$8CC120
PortraitPaletteBB,$8CC100
PortraitPaletteBC,$8CC100
PortraitPaletteBD,$8CC100
PortraitPaletteBE,$8CC140
PortraitPaletteBF,$8CC160
PortraitPaletteC0,$8CC180
PortraitPaletteC1,$8CC1A0
PortraitPaletteC2,$8CC1C0
PortraitPaletteC3,$8CC1E0
PortraitPaletteC4,$8CC160
PortraitPaletteC5,$8CC200
PortraitPaletteC6,$8CC220
PortraitPaletteC7,$8CC240
PortraitPaletteC8,$8CC240
PortraitPaletteC9,$8CC260
PortraitPaletteCA,$8CC260
PortraitPaletteCB,$8CC280
PortraitPaletteCC,$8CC2A0
PortraitPaletteCD,$8CC240
PortraitPaletteCE,$8CC2C0
PortraitPaletteCF,$8CC2C0
PortraitPaletteD0,$8CC2C0
PortraitPaletteD1,$8CC2C0
PortraitPaletteD2,$8CC2E0
PortraitPaletteD3,$8CC300
PortraitPaletteD4,$8CC320
PortraitPaletteD5,$8CC340
PortraitPaletteD6,$8CC360
PortraitPaletteD7,$8CC240
PortraitPaletteD8,$8CC380
PortraitPaletteD9,$8CC260
PortraitPaletteDA,$8CC360
PortraitPaletteDB,$8CC3A0
PortraitPaletteDC,$8CC3C0
PortraitPaletteDD,$8CC3E0
PortraitPaletteDE,$8CC400
PortraitPaletteDF,$8CC420
PortraitPaletteE0,$8CC440
PortraitPaletteE1,$8CC400
PortraitPaletteE2,$8CC460
PortraitPaletteE3,$8CC480
PortraitPaletteE4,$8CC480
PortraitPaletteE5,$8CC4A0
PortraitPaletteE6,$8CC4A0
PortraitPaletteE7,$8CC4C0
PortraitPaletteE8,$8CC4C0
PortraitPaletteE9,$8CC4C0
PortraitPaletteEA,$8CC4C0
PortraitPaletteEB,$8CC340
PortraitPaletteEC,$8CC300
PortraitPaletteED,$8CC320
PortraitPaletteEE,$8CC2E0
PortraitPaletteEF,$8CC420
PortraitPaletteF0,$8CC3C0
PortraitPaletteF1,$8CC2C0
PortraitPaletteF2,$8CC260
PortraitPaletteF3,$8CAC80
PortraitPaletteF4,$8CACA0
PortraitPaletteF5,$8CB1E0
PortraitPaletteF6,$8CAB40
PortraitPaletteF7,$8CAB60
