.addr 0,Pointer
EDID_Male_Lover,rsEpilogueDialogueIDMaleCheckIfWithLover
EDID_Male_Lover_Target,rsEpilogueDialogueIDMaleCheckIfWithLoverAndTargetAlive
EDID_Male_Lover_Priority,rsEpilogueDialogueIDMaleCheckIfWithLoverAndPriotity
EDID_Female_Married_Target,rsEpilogueDialogueIDFemaleCheckIfMarriedAndTargetAlive
EDID_Female_Married_Priority,rsEpilogueDialogueIDFemaleCheckIfMarriedAndPriority
EDID_Female_Married_Priority_Target,rsEpilogueDialogueIDFemaleCheckIfMarriedAndPriorityAndTargetAlive
EDID_Seliph,rsGetSeliphEpilogueDialogueID
EDID_Julia,rsGetJuliaEpilogueDialogueID
EDID_Altena,rsGetAltenaEpilogueDialogueID
EDID_Hannibal,rsGetHannibalEpilogueDialogueID
EDID_Default,rsEpilogueDialogueIDDefault
EDID_LewynsSon,rsGetLewynsSonEpilogueDialogueID
EDID_LewnysDaughter,rsGetLewynsDaughterEpilogueDialogueID
