.long 0,Pointer
Seliph_JuliaDead,dialogueEpilogueLover_Seliph_JuliaDead_Noble
Seliph_JuliaAlive,dialogueEpilogueLover_Seliph_JuliaAlive_All
Shannan,dialogueEpilogueLover_Shannan_Noble
DalvinScathach_ShannanDead,dialogueEpilogueLover_DalvinScathach_ShannanDead_JeanneNanna
DalvinScathach_ShannanAlive,dialogueEpilogueLover_DalvinScathach_ShannanAlive_All
Deimne_MuirneDead,dialogueEpilogueLover_Deimne_MuirneDead_Noble
Deimne_MuirneAlive,dialogueEpilogueLover_Deimne_MuirneAlive_All
Leif_AltenaDead,dialogueEpilogueLover_Leif_Noble
Leif_AltenaAlive,dialogueEpilogueLover_Leif_Noble
CharlotCoirpre_HannibalDead,dialogueEpilogueLover_CharlotCoirpre_HannibalDead_Noble
CharlotCoirpre_HannibalAlive,dialogueEpilogueLover_CharlotCoirpre_HannibalAlive_JeanneNanna
Asaello_DaisyDead,dialogueEpilogueLover_Asaello_DaisyDead_Noble
Asaello_DaisyAlive,dialogueEpilogueLover_Asaello_DaisyAlive_JeanneNanna
Ares,dialogueEpilogueLover_Ares_Noble
Diarmuid_AresDead,dialogueEpilogueLover_Diarmuid_Noble
Diarmuid_AresAlive,dialogueEpilogueLover_Diarmuid_Noble
Tristan_AresDead,dialogueEpilogueLover_Tristan_Noble
Tristan_AresAlive,dialogueEpilogueLover_Tristan_Noble
JamkesSon,dialogueEpilogueLover_JamkesSon_Noble
Febail,dialogueEpilogueLover_Febail_Noble
Lester_BrigidsChildrenDead,dialogueEpilogueLover_Lester_BrigidsChildrenDead_Noble
Lester_BrigidsChildrenAlive,dialogueEpilogueLover_Lester_BrigidsChildrenAlive_Noble
AmidArthur,dialogueEpilogueLover_AmidArthur_NobleB
LexSon,dialogueEpilogueLover_LexSon_Noble
Iuchar,dialogueEpilogueLover_Iuchar_Noble
Iucharba,dialogueEpilogueLover_Iucharba_Noble
ClaudsSon,dialogueEpilogueLover_ClaudsSon_JeanneNanna
AzellesSon,dialogueEpilogueLover_AzellesSon_JeanneNanna
Oifey,dialogueEpilogueLover_Oifey_Noble
Ced,dialogueEpilogueLover_Ced_Noble
LewynsSon,dialogueEpilogueLover_LewynsSon_Noble
