.long 0,Pointer
Seliph_JuliaDead,dialogueEpilogueLover_Seliph_JuliaDead_Peppy
Seliph_JuliaAlive,dialogueEpilogueLover_Seliph_JuliaAlive_All
Shannan,dialogueEpilogueLover_Shannan_Peppy
DalvinScathach_ShannanDead,dialogueEpilogueLover_DalvinScathach_ShannanDead_Peppy
DalvinScathach_ShannanAlive,dialogueEpilogueLover_DalvinScathach_ShannanAlive_All
Deimne_MuirneDead,dialogueEpilogueLover_Deimne_MuirneDead_Peppy
Deimne_MuirneAlive,dialogueEpilogueLover_Deimne_MuirneAlive_All
Leif_AltenaDead,dialogueEpilogueLover_Leif_Peppy
Leif_AltenaAlive,dialogueEpilogueLover_Leif_Peppy
CharlotCoirpre_HannibalDead,dialogueEpilogueLover_CharlotCoirpre_HannibalDead_Peppy
CharlotCoirpre_HannibalAlive,dialogueEpilogueLover_CharlotCoirpre_HannibalAlive_Peppy
Asaello_DaisyDead,dialogueEpilogueLover_Asaello_DaisyDead_Peppy
Asaello_DaisyAlive,dialogueEpilogueLover_Asaello_DaisyAlive_Peppy
Ares,dialogueEpilogueLover_Ares_Peppy
Diarmuid_AresDead,dialogueEpilogueLover_Diarmuid_Peppy
Diarmuid_AresAlive,dialogueEpilogueLover_Diarmuid_Peppy
Tristan_AresDead,dialogueEpilogueLover_Tristan_Peppy
Tristan_AresAlive,dialogueEpilogueLover_Tristan_Peppy
JamkesSon,dialogueEpilogueLover_JamkesSon_Peppy
Febail,dialogueEpilogueLover_Febail_Peppy
Lester_BrigidsChildrenDead,dialogueEpilogueLover_Lester_BrigidsChildrenDead_Peppy
Lester_BrigidsChildrenAlive,dialogueEpilogueLover_Lester_BrigidsChildrenAlive_Peppy
AmidArthur,dialogueEpilogueLover_AmidArthur_Peppy
LexSon,dialogueEpilogueLover_LexSon_Peppy
Iuchar,dialogueEpilogueLover_Iuchar_Peppy
Iucharba,dialogueEpilogueLover_Iucharba_Peppy
ClaudsSon,dialogueEpilogueLover_ClaudsSon_Peppy
AzellesSon,dialogueEpilogueLover_AzellesSon_Peppy
Oifey,dialogueEpilogueLover_Oifey_Peppy
Ced,dialogueEpilogueLover_Ced_Peppy
LewynsSon,dialogueEpilogueLover_LewynsSon_Peppy
