.addr 0,Pointer
EPrio_Main,rsEpilogueSetMainCharacterNoPriority
EPrio_StartRegion_IfSon,rsEpilogueStartRegionPriorityIfSonExists
EPrio_StartRegion,rsEpilogueStartRegionPriority
EPrio_Sub_FollowUp,rsEpilogueSetMainCharacterFollowUpPriority
EPrio_FollowUp1,rsEpilogueSetMainCharacterFollowUpPriority
EPrio_FollowUp2,rsEpilogueSetMainCharacterFollowUpPriority
EPrio_Main_IfDaughter,rsEpilogueSetMainCharacerOnNoPriorityIfDaughterExists
EPrio_Main_NoPriority1,rsEpilogueSetMainCharacerOnNoPriority
EPrio_Main_NoPriority2,rsEpilogueSetMainCharacerOnNoPriority
EPrio_Main_NoPriority3,rsEpilogueSetMainCharacerOnNoPriority
EPrio_Male_Lover,rsEpiloguePrioritySetMaleLover
EPrio_Son_Lover,rsEpiloguePrioritySetSonsLover
EPrio_Daughter_Main_NoPriority,rsEpilogueSetDaughterMainCharacterNoPriority
