.byte 0,StartingEpilogueID,NextEpilogueID
EpilogueRegionBelhalla,SeliphEpilogueID,JuliaEpilogueID
EpilogueRegionIsaach,ShannanEpilogueID,LeifEpilogueID
EpilogueRegionNewThracia,LeifEpilogueID,AresEpilogueID
EpilogueRegionAgustria,AresEpilogueID,JamkesSonEpilogueID
EpilogueRegionVerdane,JamkesSonEpilogueID,FebailEpilogueID
EpilogueRegionYngvi,FebailEpilogueID,ArthurEpilogueID
EpilogueRegionFriege,ArthurEpilogueID,LexSonEpilogueID
EpilogueRegionDozel,LexSonEpilogueID,ClaudsSonEpilogueID
EpilogueRegionEdda,ClaudsSonEpilogueID,AzellesSonEpilogueID
EpilogueRegionVelthomer,AzellesSonEpilogueID,OifeyEpilogueID
EpilogueRegionChalphy,OifeyEpilogueID,CedEpilogueID
EpilogueRegionSilesse,CedEpilogueID,50
