.addr 0,Pointer
WMH_Verdane,rsDecompressVerdaneMapHighlight
WMH_Agustria,rsDecompressAgustriaMapHighlight
WMH_Silesse,rsDecompressSilesseMapHighlight
WMH_Aed,rsDecompressAedMapHighlight
WMH_Isaach,rsDecompressIsaachMapHighlight
WMH_Muster,rsDecompressMunsterMapHighlight
WMH_Thracia,rsDecompressThraciaMapHighlight
WMH_Miletos,rsDecompressMiletosMapHighlight
WMH_Grannvale,rsDecompressGrannvaleMapHighlight
WMH_UnitedGrannvale,rsDecompressUnitedGrannvaleMapHighlight
WMH_UnifiedThracia,rsDecompressUnifiedThraciaMapHighlight
