.addr 0 2,Pointer
WMM_EvansToYngvi,aWorldMapSprite1
WMM_RibautToDahna,aWorldMapSprite2
WMM_ChalphyToYngvi,aWorldMapSprite3
WMM_AgustiToMadino,aWorldMapSprite8
WMM_MadinoToAgusti,aWorldMapSprite9
WMM_ZaxonToBelhalla,aWorldMapSprite13
WMM_Belhalla,aWorldMapSprite4
WMM_GrannvaleDuchies,aWorldMapSprite5
WMM_Chalphy,aWorldMapSprite4
WMM_Yngvi,aWorldMapSprite4
WMM_Friege,aWorldMapSprite4
WMM_Dozel,aWorldMapSprite4
WMM_VelthomerChP,aWorldMapSprite6
WMM_Edda,aWorldMapSprite4
WMM_Silesse,aWorldMapSprite4
WMM_ZaxonCh04,aWorldMapSprite4
WMM_Tofa,aWorldMapSprite4
WMM_OrgahilToSailane,aWorldMapSprite10
WMM_SilesseCastles,aWorldMapSprite11
WMM_ZaxonToLubeck,aWorldMapSprite12
WMM_ZaxonCh05,aWorldMapSprite4
WMM_Phinora,aWorldMapSprite4
WMM_VelthomerCh05,aWorldMapSprite4
WMM_BelhallaCh05,aWorldMapSprite4
WMM_ThraciaToMunster,aWorldMapSprite14
WMM_UnusedMansterToMeath,aWorldMapSprite15
WMM_UnusedThraciaCastles,aWorldMapSprite16
WMM_Peruluke,aWorldMapSprite4
WMM_ThraciaToPeruluke,aWorldMapSprite17
WMM_Unknown1,aWorldMapSprite4
WMM_RibautCh06,aWorldMapSprite4
WMM_Isaach,aWorldMapSprite4
WMM_Sofala,aWorldMapSprite4
WMM_Ganeishire,aWorldMapSprite4
WMM_Tirnanog,aWorldMapSprite4
WMM_LeonsterCh07,aWorldMapSprite4
WMM_Aed,aWorldMapSprite4
WMM_Dahna,aWorldMapSprite4
WMM_Melgen,aWorldMapSprite4
WMM_UlsterCh07,aWorldMapSprite4
WMM_RibautCh07,aWorldMapSprite4
WMM_LeonsterCh08,aWorldMapSprite4
WMM_UlsterCh08,aWorldMapSprite4
WMM_Connacht,aWorldMapSprite4
WMM_Munster,aWorldMapSprite4
WMM_Meath,aWorldMapSprite4
WMM_Unknown2,aWorldMapSprite4
WMM_Unknown3,aWorldMapSprite4
