.word 0,Pointer
UNITGroupPrologueStart,<>aUNITGroupDataPrologueStart - aUNITGroupPointers
UNITGroupPrologueEvans,<>aUNITGroupDataPrologueEvans - aUNITGroupPointers
UNITGroupChapter01Start,<>aUNITGroupDataChapter01Start - aUNITGroupPointers
UNITGroupChapter01Marpha,<>aUNITGroupDataChapter01Marpha - aUNITGroupPointers
UNITGroupChapter01Heirhein,<>aUNITGroupDataChapter01Heirhein - aUNITGroupPointers
UNITGroupChapter01Nordion,<>aUNITGroupDataChapter01Nordion - aUNITGroupPointers
UNITGroupChapter01Verdane,<>aUNITGroupDataChapter01Verdane - aUNITGroupPointers
UNITGroupChapter01Brigands,<>aUNITGroupDataChapter01Brigands - aUNITGroupPointers
UNITGroupChapter02Start,<>aUNITGroupDataChapter02Start - aUNITGroupPointers
UNITGroupChapter02Yellows,<>aUNITGroupDataChapter02Yellows - aUNITGroupPointers
UNITGroupChapter02Infini,<>aUNITGroupDataChapter02Infini - aUNITGroupPointers
UNITGroupChapter02Mackily,<>aUNITGroupDataChapter02Mackily - aUNITGroupPointers
UNITGroupChapter02Agusti,<>aUNITGroupDataChapter02Agusti - aUNITGroupPointers
UNITGroupChapter03Start,<>aUNITGroupDataChapter03Start - aUNITGroupPointers
UNITGroupChapter03Sylvale,<>aUNITGroupDataChapter03Sylvale - aUNITGroupPointers
UNITGroupChapter03Thracia,<>aUNITGroupDataChapter03Thracia - aUNITGroupPointers
UNITGroupChapter03Orgahil,<>aUNITGroupDataChapter03Orgahil - aUNITGroupPointers
UNITGroupChapter03DozelFriege,<>aUNITGroupDataChapter03DozelFriege - aUNITGroupPointers
UNITGroupChapter04Start,<>aUNITGroupDataChapter04Start - aUNITGroupPointers
UNITGroupChapter04Donovan,<>aUNITGroupDataChapter04Donovan - aUNITGroupPointers
UNITGroupChapter04Pamela,<>aUNITGroupDataChapter04Pamela - aUNITGroupPointers
UNITGroupChapter04Annand,<>aUNITGroupDataChapter04Annand - aUNITGroupPointers
UNITGroupChapter04Andrey,<>aUNITGroupDataChapter04Andrey - aUNITGroupPointers
UNITGroupChapter04Zaxon,<>aUNITGroupDataChapter04Zaxon - aUNITGroupPointers
UNITGroupChapter05Start,<>aUNITGroupDataChapter05Start - aUNITGroupPointers
UNITGroupChapter05Leonster,<>aUNITGroupDataChapter05Leonster - aUNITGroupPointers
UNITGroupChapter05Phinora,<>aUNITGroupDataChapter05Phinora - aUNITGroupPointers
UNITGroupChapter05Velthomer,<>aUNITGroupDataChapter05Velthomer - aUNITGroupPointers
UNITGroupChapter05Belhalla,<>aUNITGroupDataChapter05Belhalla - aUNITGroupPointers
UNITGroupChapter05Thracia,<>aUNITGroupDataChapter05Thracia - aUNITGroupPointers
UNITGroup30,<>$81D67C - aUNITGroupPointers
UNITGroup31,<>$81D764 - aUNITGroupPointers
UNITGroup32,<>$81D82C - aUNITGroupPointers
UNITGroup33,<>$81D894 - aUNITGroupPointers
UNITGroup34,<>$81D8CC - aUNITGroupPointers
UNITGroup35,<>$81DA04 - aUNITGroupPointers
UNITGroup36,<>$81DADC - aUNITGroupPointers
UNITGroup37,<>$81DBB4 - aUNITGroupPointers
UNITGroup38,<>$81DCBC - aUNITGroupPointers
UNITGroup39,<>$81DD34 - aUNITGroupPointers
UNITGroup40,<>$81DE9C - aUNITGroupPointers
UNITGroup41,<>$81DEAC - aUNITGroupPointers
UNITGroup42,<>$81DED4 - aUNITGroupPointers
UNITGroup43,<>$81DFCC - aUNITGroupPointers
UNITGroup44,<>$81E024 - aUNITGroupPointers
UNITGroup45,<>$81E0D4 - aUNITGroupPointers
UNITGroup46,<>$81E254 - aUNITGroupPointers
UNITGroup47,<>$81E32C - aUNITGroupPointers
UNITGroup48,<>$81E3D4 - aUNITGroupPointers
UNITGroup49,<>$81E4B4 - aUNITGroupPointers
UNITGroup50,<>$81E60C - aUNITGroupPointers
UNITGroup51,<>$81E78C - aUNITGroupPointers
UNITGroup52,<>$81E87C - aUNITGroupPointers
UNITGroup53,<>$81E914 - aUNITGroupPointers
UNITGroup54,<>$81E9E4 - aUNITGroupPointers
UNITGroup55,<>$81EA2C - aUNITGroupPointers
UNITGroup56,<>$81EB1C - aUNITGroupPointers
UNITGroup57,<>$81EB54 - aUNITGroupPointers
